届 #00005c4a
ꓼ #0000a4fc
\U0003fb12 #0003fb12
𣹬 #00023e6c
\U0001cab1 #0001cab1
𐊨 #000102a8
𮔓 #0002e513
\U000380ce #000380ce
\U00032469 #00032469
\u0a65 #00000a65
ό #000003cc
\U0003c487 #0003c487
𥕔 #00025554
𪜽 #0002a73d
𑪂 #00011a82
\U0003534d #0003534d
𭯨 #0002dbe8
첛 #0000cc9b
ឹ #000017b9
\U0001521a #0001521a
𘫎 #00018ace
泰 #00006cf0
\U0003fae6 #0003fae6
\U00035b5f #00035b5f
\U000102d5 #000102d5
𤖥 #000245a5
𪆷 #0002a1b7
\U00035567 #00035567
𢛤 #000226e4
\U0001ae76 #0001ae76
Ӣ #000004e2
\U000159c6 #000159c6
\U00035821 #00035821
ₐ #00002090
\U00032542 #00032542
\U0003edff #0003edff
漏 #00006f0f
𤧄 #000249c4
\U00031ed2 #00031ed2
\U00036599 #00036599
𣇎 #000231ce
𡜺 #0002173a
\U00012e27 #00012e27
𐪞 #00010a9e
\U0003df19 #0003df19
\U0001a736 #0001a736
\U000137a4 #000137a4
聐 #00008050
𮗾 #0002e5fe
\U0003538b #0003538b
𧴚 #00027d1a
颇 #00009887
𫷐 #0002bdd0
𗸆 #00017e06
\U00033215 #00033215
𩋌 #000292cc
后 #0000540e
鍗 #00009357
ﾕ #0000ff95
𥋉 #000252c9
𪣁 #0002a8c1
\U00012eef #00012eef
் #00000bcd
\U000354d9 #000354d9
\uf895 #0000f895
𣠏 #0002380f
𧥛 #0002795b
쒎 #0000c48e
뉴 #0000b274
𦖸 #000265b8
𢃀 #000220c0
𰡙 #00030859
𐡫 #0001086b
𰩺 #00030a7a
\U0002fd60 #0002fd60
\U00037696 #00037696
浏 #00006d4f
\U0001ef65 #0001ef65
🬢 #0001fb22
鹬 #00009e6c
𬗨 #0002c5e8
$ #00000024
\uf6f0 #0000f6f0
𭝥 #0002d765
\U0003f4d0 #0003f4d0
𫒍 #0002b48d
㏆ #000033c6
𧓎 #000274ce
㜃 #00003703
꡵ #0000a875
\U00034a9d #00034a9d
㖦 #000035a6
\U0003af48 #0003af48
促 #00004fc3
𩥹 #00029979
\U0003bf00 #0003bf00
\U000379ec #000379ec
𫂾 #0002b0be
䵸 #00004d78
𰔃 #00030503
𤥿 #0002497f
\U0001961a #0001961a
🖘 #0001f598
\U0001476e #0001476e
ꛟ #0000a6df
洤 #00006d24
\U000314f4 #000314f4
\U00015b9c #00015b9c
\U0003223a #0003223a
\U0003edb0 #0003edb0
\U000164a0 #000164a0
풿 #0000d4bf
𩗩 #000295e9
\U000129fe #000129fe
\U00010fae #00010fae
\U0003e371 #0003e371
\ue31d #0000e31d
之 #00004e4b
\uee2b #0000ee2b
\U0001e547 #0001e547
𐧓 #000109d3
\U0001abac #0001abac
\U0003c7fe #0003c7fe
\U00031bfd #00031bfd
O #0000004f
\U00037118 #00037118
ọ #00001ecd
矆 #000077c6
ё #00000451
𑃒 #000110d2
\U0001adc9 #0001adc9
\U0003fd20 #0003fd20
𑌦 #00011326
옚 #0000c61a
\U00015fc1 #00015fc1
𪌎 #0002a30e
ﺕ #0000fe95
𦆑 #00026191
㽗 #00003f57
治 #00006cbb
鮺 #00009bba
쾕 #0000cf95
\U0001ae97 #0001ae97
𝠯 #0001d82f
\U000326aa #000326aa
𱅽 #0003117d
𠉟 #0002025f
\U00014697 #00014697
\U0002fb0c #0002fb0c
\U00019566 #00019566
Ի #0000053b
異 #0000f962
\U0003a5c7 #0003a5c7
𩠮 #0002982e
\U0002fb15 #0002fb15
\U00032308 #00032308
ꡭ #0000a86d
㓒 #000034d2
两 #00004e24
停 #0000505c
\U00034a5e #00034a5e
\U0002f742 #0002f742
\U00019328 #00019328
𢪚 #00022a9a
\U00013a71 #00013a71
い #00003044
𮭂 #0002eb42
\U0003a1b3 #0003a1b3
⭃ #00002b43
\U0003245b #0003245b
𠌣 #00020323
\U0003b3c9 #0003b3c9
㖶 #000035b6
メ #000030e1
津 #00006d25
𡫩 #00021ae9
\U000151d4 #000151d4
𣸁 #00023e01
\U0001424d #0001424d
𝥺 #0001d97a
ப #00000baa
𤹌 #00024e4c
\U00033fb7 #00033fb7
붊 #0000bd8a
\u17fa #000017fa
\U00039977 #00039977
𭞝 #0002d79d
\U0003d5af #0003d5af
鐠 #00009420
緆 #00007dc6
𰧰 #000309f0
𘁖 #00018056
\U0001e7a5 #0001e7a5
𠅔 #00020154
\U0003e77b #0003e77b
麟 #0000f9f3
𡛸 #000216f8
놋 #0000b18b
\U00038191 #00038191
\U00014b36 #00014b36
𦁗 #00026057
\U000377a9 #000377a9
辛 #00008f9b
𢅺 #0002217a
\U00014e00 #00014e00
哲 #000054f2
\U000126ce #000126ce
𬫰 #0002caf0
밪 #0000bc2a
\U000398a9 #000398a9
\U0002f13e #0002f13e
𨧖 #000289d6
𐹫 #00010e6b
\U0001a6b8 #0001a6b8
葛 #0000845b
孙 #00005b59
\U0001a53f #0001a53f
\U0003e434 #0003e434
淚 #0000f94d
\U00015d4c #00015d4c
𬣰 #0002c8f0
颀 #00009880
\U00011db5 #00011db5
\U0003e884 #0003e884
\U000155e5 #000155e5
\U0001ac6f #0001ac6f
\ueb3d #0000eb3d
𱀦 #00031026
𑓁 #000114c1
\U00015de0 #00015de0
\U0003709b #0003709b
襻 #0000897b
𤼣 #00024f23
ㅖ #00003156
𬝠 #0002c760
\U0003d830 #0003d830
\U00031532 #00031532
\uf339 #0000f339
𣆴 #000231b4
𑃕 #000110d5
𰳨 #00030ce8
\U0003724a #0003724a
\ue427 #0000e427
\U0001b35b #0001b35b
\U0003de7c #0003de7c
\U0001fd52 #0001fd52
\U000374bf #000374bf
\U0001354e #0001354e
\U0001a1a2 #0001a1a2
𦝶 #00026776
𓋂 #000132c2
\U0003c8b2 #0003c8b2
𡠊 #0002180a
\U0003d9c9 #0003d9c9
𩀎 #0002900e
\U00011cbf #00011cbf
𬴆 #0002cd06
캈 #0000ce88
\U00013e51 #00013e51
𡈍 #0002120d
𭂕 #0002d095
\U0003dc7b #0003dc7b
𨁖 #00028056
\U0001ed86 #0001ed86
𨀿 #0002803f
\U000160e5 #000160e5
𡧌 #000219cc
𢸫 #00022e2b
从 #00004ece
\U0001c6ad #0001c6ad
赮 #00008d6e
赴 #00008d74
\U00016246 #00016246
\U0003389a #0003389a
𭉎 #0002d24e
\U0003a06f #0003a06f
𢷄 #00022dc4
\U0003176e #0003176e
팠 #0000d320
\U00018ff9 #00018ff9
\U0003e973 #0003e973
\U000152ee #000152ee
\U00036e63 #00036e63
\U000325c3 #000325c3
\U00036546 #00036546
\U00015501 #00015501
\U00035f3c #00035f3c
\U0001aac4 #0001aac4
\U00033627 #00033627
𰡈 #00030848
\U0001fe52 #0001fe52
唐 #0002f842
\U0003b5b0 #0003b5b0
𧴺 #00027d3a
\U0003cf16 #0003cf16
\U0003e319 #0003e319
侪 #00004faa
\U0003bb8b #0003bb8b
\U0001475a #0001475a
𪺴 #0002aeb4
\U000349ad #000349ad
𘈟 #0001821f
ð #000000f0
\uefeb #0000efeb
\U0003975d #0003975d
Ý #000000dd
놑 #0000b191
𐴜 #00010d1c
\U00015a44 #00015a44
金 #000091d1
把 #0000628a
𘃥 #000180e5
𩇖 #000291d6
\U0003be64 #0003be64
\u0ef8 #00000ef8
\U0001b827 #0001b827
\U00037cf3 #00037cf3
🗩 #0001f5e9
🬅 #0001fb05
𫞓 #0002b793
𫊓 #0002b293
阓 #00009613
\U0001acc3 #0001acc3
\U0003b087 #0003b087
뙸 #0000b678
\U0003b9a4 #0003b9a4
𗶲 #00017db2
ݿ #0000077f
\U000139ac #000139ac
\U0001b4f6 #0001b4f6
𘄞 #0001811e
─ #00002500
𰤈 #00030908
𮄣 #0002e123
\U00038b51 #00038b51
𞸧 #0001ee27
𨘣 #00028623
\U0003bb2d #0003bb2d
\U00011b7b #00011b7b
\U000150ed #000150ed
䣟 #000048df
\U000364b7 #000364b7
\U0001a46e #0001a46e
\U00033841 #00033841
𞺋 #0001ee8b
\U0002f7fe #0002f7fe
ꂹ #0000a0b9
뾁 #0000bf81
泖 #00006cd6
꣬ #0000a8ec
\U00013bbd #00013bbd
𭚶 #0002d6b6
𭉰 #0002d270
放 #0000653e
𤀌 #0002400c
𨓥 #000284e5
\U000107b4 #000107b4
父 #00007236
\U00033b62 #00033b62
\U00034682 #00034682
𢏹 #000223f9
𗬲 #00017b32
\U000138bd #000138bd
䟪 #000047ea
␄ #00002404
𨟺 #000287fa
\U000164d0 #000164d0
\U000368a8 #000368a8
\U0003b2c5 #0003b2c5
𔕈 #00014548
年 #00005e74
\U00036f48 #00036f48
\U0003261a #0003261a
\U0003b462 #0003b462
𘣑 #000188d1
𘨞 #00018a1e
이 #0000c774
\U0001c24d #0001c24d
\U0003bc35 #0003bc35
\U00038ff6 #00038ff6
\U00019c2e #00019c2e
弃 #00005f03
\U0003532f #0003532f
\U0001b48c #0001b48c
𧫖 #00027ad6
\U00038751 #00038751
\U00018ed4 #00018ed4
由 #00007531
𘝲 #00018772
𤹣 #00024e63
\U000146fe #000146fe
𢄻 #0002213b
ᯓ #00001bd3
鐬 #0000942c
𫲾 #0002bcbe
\U00036bea #00036bea
⎉ #00002389
𘗻 #000185fb
𗷱 #00017df1
\U0003826c #0003826c
쏪 #0000c3ea
᩻ #00001a7b
模 #00006a21
𨓷 #000284f7
𦌱 #00026331
\U0003c9d7 #0003c9d7
\U0002f125 #0002f125
𡳾 #00021cfe
𡧝 #000219dd
\U00033097 #00033097
\U0001dd92 #0001dd92
𦗃 #000265c3
\U000399bb #000399bb
\U000153ae #000153ae
ⵔ #00002d54
\U000332f8 #000332f8
𩑂 #00029442
惉 #000060c9
\U0001c4bc #0001c4bc
ｏ #0000ff4f
𗸜 #00017e1c
\U00033146 #00033146
\U000355e8 #000355e8
： #0000ff1a
𤲮 #00024cae
\U0001c100 #0001c100
늸 #0000b2b8
碑 #00007891
\U00032a3c #00032a3c
𗀑 #00017011
𧵅 #00027d45
𡸷 #00021e37
𪪫 #0002aaab
𩦛 #0002999b
𒅱 #00012171
\U00038d79 #00038d79
퍣 #0000d363
\U00015613 #00015613
\U0003aa8f #0003aa8f
𰍶 #00030376
\U000135ab #000135ab
\ue369 #0000e369
㽻 #00003f7b
\U000361bb #000361bb
𝧆 #0001d9c6
\U0003f6d9 #0003f6d9
𥽋 #00025f4b
㬅 #00003b05
𧅩 #00027169
𢥺 #0002297a
\U00033941 #00033941
ᕛ #0000155b
᪤ #00001aa4
ᮮ #00001bae
\U000349c6 #000349c6
ꢟ #0000a89f
\U00013dd4 #00013dd4
⦞ #0000299e
翰 #00007ff0
\U00014ffa #00014ffa
\uf5ec #0000f5ec
߰ #000007f0
\U00013e65 #00013e65
\U00016379 #00016379
\ueff6 #0000eff6
\U0001673d #0001673d
𠫨 #00020ae8
帥 #00005e25
𰟜 #000307dc
\U000161bc #000161bc
\U0001a8b5 #0001a8b5
𠎱 #000203b1
\U000360ae #000360ae
訿 #00008a3f
𥂫 #000250ab
쨧 #0000ca27
𢎃 #00022383
\U000142fa #000142fa
鑅 #00009445
纳 #00007eb3
𧚻 #000276bb
\U0003c775 #0003c775
利 #00005229
𦟐 #000267d0
兼 #0000517c
\U00039423 #00039423
𩀡 #00029021
𦫽 #00026afd
\ue155 #0000e155
𩢆 #00029886
\U00038977 #00038977
𫫎 #0002bace
\U000161a4 #000161a4
\U0002feed #0002feed
𓌌 #0001330c
𮀦 #0002e026
\U0003f10f #0003f10f
ꀂ #0000a002
\U0001a11a #0001a11a
𩡫 #0002986b
𓃢 #000130e2
𦁤 #00026064
欭 #00006b2d
\U0001e612 #0001e612
\U00019394 #00019394
𩎆 #00029386
𪢥 #0002a8a5
\U0003fdf3 #0003fdf3
\U00016fd1 #00016fd1
㞎 #0000378e
\U0003936a #0003936a
\U0001d3e5 #0001d3e5
𠧁 #000209c1
𮈪 #0002e22a
𠖋 #0002058b
\U0001b3df #0001b3df
𭠫 #0002d82b
笃 #00007b03
𪌽 #0002a33d
𭀬 #0002d02c
\U0001356e #0001356e
\U00014aa6 #00014aa6
𧨽 #00027a3d
． #0000ff0e
\U00038c85 #00038c85
𬤈 #0002c908
⠙ #00002819
𐒴 #000104b4
\U0001482b #0001482b
\U0001567b #0001567b
𢑳 #00022473
\u0bd9 #00000bd9
𧀢 #00027022
𥟩 #000257e9
𢿮 #00022fee
\uf14e #0000f14e
\U0001a90d #0001a90d
\U00033ccb #00033ccb
𠎾 #000203be
镀 #00009540
𮖚 #0002e59a
\U00013fb9 #00013fb9
𓄮 #0001312e
\U0001608e #0001608e
\U0001aa02 #0001aa02
醤 #000091a4
炸 #000070b8
\U0002eef7 #0002eef7
\U0003a6a1 #0003a6a1
裛 #000088db
\ue572 #0000e572
\U000352a5 #000352a5
\U0003c90a #0003c90a
\U000384ae #000384ae
븗 #0000be17
긋 #0000ae0b
\U0001a0bb #0001a0bb
\U00013709 #00013709
\U00016707 #00016707
𛊗 #0001b297
\uf475 #0000f475
𥻥 #00025ee5
𭩻 #0002da7b
𢑥 #00022465
𝤄 #0001d904
𐊘 #00010298
ረ #00001228
𐐑 #00010411
𰹏 #00030e4f
犹 #000072b9
𨠲 #00028832
\U0003b357 #0003b357
𮑝 #0002e45d
𥭕 #00025b55
𐠓 #00010813
쥧 #0000c967
𭀝 #0002d01d
\U00036d69 #00036d69
瞭 #000077ad
\U00015308 #00015308
𬐫 #0002c42b
𓎻 #000133bb
𪆘 #0002a198
\ue81c #0000e81c
ﰆ #0000fc06
𡿜 #00021fdc
\U0003c95b #0003c95b
\U0003768a #0003768a
𭡛 #0002d85b
䀑 #00004011
佐 #00004f50
拻 #000062fb
估 #00004f30
\U0001938d #0001938d
\U0001931b #0001931b
\U000322c9 #000322c9
\U0003c84f #0003c84f
𩖴 #000295b4
ﴋ #0000fd0b
\U0003a8a2 #0003a8a2
\U0003c130 #0003c130
𗡊 #0001784a
𨎉 #00028389
\U00019693 #00019693
𛈷 #0001b237
\U000398a6 #000398a6
\U0003241e #0003241e
𝁾 #0001d07e
\uefda #0000efda
必 #00005fc5
𥧕 #000259d5
⤾ #0000293e
𑋕 #000112d5
𝙎 #0001d64e
Ϋ #000003ab
\U00012df0 #00012df0
ݜ #0000075c
\U00019f51 #00019f51
璮 #000074ae
\U0003ab50 #0003ab50
\U00016195 #00016195
𨬗 #00028b17
\U00033765 #00033765
\U0001b124 #0001b124
𗄣 #00017123
𨘔 #00028614
𧡚 #0002785a
𭨜 #0002da1c
\U0001c56c #0001c56c
\U0002f0e7 #0002f0e7
𑲟 #00011c9f
𥞒 #00025792
旿 #000065ff
\U0003eda9 #0003eda9
\U00014814 #00014814
飪 #000098ea
🔅 #0001f505
夷 #00005937
\U0003477d #0003477d
\U0003c246 #0003c246
𣀦 #00023026
\U00015a23 #00015a23
𰲂 #00030c82
\U0001a44b #0001a44b
릠 #0000b9a0
🃥 #0001f0e5
퍫 #0000d36b
\U00036db6 #00036db6
\U0002f5e2 #0002f5e2
\U00034fcc #00034fcc
\U0001bdd4 #0001bdd4
\U00019f48 #00019f48
𭥼 #0002d97c
𨇦 #000281e6
𨼁 #00028f01
ࠕ #00000815
𧍕 #00027355
𗲴 #00017cb4
\U000152c4 #000152c4
滿 #00006eff
\U00038e47 #00038e47
𪍲 #0002a372
\U00012e8a #00012e8a
疦 #000075a6
\U0003365d #0003365d
𫦷 #0002b9b7
\U00031dba #00031dba
뤩 #0000b929
䦨 #000049a8
𝝰 #0001d770
\U0001567e #0001567e
𥼚 #00025f1a
奥 #00005965
\U000165f2 #000165f2
\U0001db4a #0001db4a
\U0003afc9 #0003afc9
\U000355bc #000355bc
Ꮳ #000013e3
\U0003c656 #0003c656
廦 #00005ee6
𢏪 #000223ea
𘩥 #00018a65
\U0003f98a #0003f98a
\U00016d62 #00016d62
𓊮 #000132ae
䘧 #00004627
𦾗 #00026f97
䓉 #000044c9
🫒 #0001fad2
쨲 #0000ca32
母 #00006bcd
🬓 #0001fb13
𪛏 #0002a6cf
\U00010eed #00010eed
𩼈 #00029f08
𢠊 #0002280a
\U0003d27d #0003d27d
\U0003899c #0003899c
퐏 #0000d40f
\U0003a03d #0003a03d
㎇ #00003387
𤬈 #00024b08
\U0003b9bf #0003b9bf
\U00033b8d #00033b8d
\U00013912 #00013912
⣪ #000028ea
\U00033d52 #00033d52
𬥠 #0002c960
䲽 #00004cbd
套 #00005957
𗈤 #00017224
永 #00006c38
鿈 #00009fc8
\U0001345f #0001345f
酿 #0000917f
\U0001476b #0001476b
০ #000009e6
𨿬 #00028fec
𱁝 #0003105d
\U000139dd #000139dd
𭺵 #0002deb5
温 #00006e29
玘 #00007398
𬟶 #0002c7f6
向 #00005411
\U0002ec34 #0002ec34
𑌔 #00011314
郁 #000090c1
𦸫 #00026e2b
𡔃 #00021503
艳 #00008273
段 #00006bb5
\U00032f14 #00032f14
\U0003bb14 #0003bb14
\U00015952 #00015952
𡁯 #0002106f
\U0003a95b #0003a95b
𩴛 #00029d1b
\U0003fb54 #0003fb54
鳨 #00009ce8
璃 #00007483
\U00019c7e #00019c7e
𧡵 #00027875
𗢍 #0001788d
𨙯 #0002866f
\U0001e6ef #0001e6ef
\U00015873 #00015873
𮜄 #0002e704
\U0003c621 #0003c621
歂 #00006b42
\U00033b74 #00033b74
\U0001c34a #0001c34a
ଡ #00000b21
𩄙 #00029119
\U0003a5d5 #0003a5d5
\uf17b #0000f17b
毉 #00006bc9
탫 #0000d0eb
ٍ #0000064d
𬓂 #0002c4c2
\U000371a4 #000371a4
\U0003869f #0003869f
𥘟 #0002561f
\U0001125c #0001125c
閺 #000095ba
\U00035b69 #00035b69
\U0003fc73 #0003fc73
軭 #00008eed
\U0003d1ba #0003d1ba
쫼 #0000cafc
𐔟 #0001051f
𐢩 #000108a9
𨶵 #00028db5
𪺠 #0002aea0
𫦉 #0002b989
糊 #00007cca
ﮕ #0000fb95
\U00013f50 #00013f50
\U00035106 #00035106
\U0003a2e2 #0003a2e2
🃃 #0001f0c3
𦒽 #000264bd
𰙓 #00030653
찹 #0000cc39
𥒶 #000254b6
\U00035322 #00035322
\U00038fe2 #00038fe2
ꞵ #0000a7b5
⥮ #0000296e
\U000313ec #000313ec
\U0001e1f1 #0001e1f1
ፌ #0000134c
羔 #00007f94
\U0003fc70 #0003fc70
쿳 #0000cff3
\U00019ad3 #00019ad3
🪃 #0001fa83
𫲪 #0002bcaa
𣯌 #00023bcc
晚 #0000665a
\U00015de4 #00015de4
𣰇 #00023c07
\U000165b4 #000165b4
\U000395ba #000395ba
案 #00006848
땹 #0000b579
𬴘 #0002cd18
\U00034096 #00034096
\ueec7 #0000eec7
重 #000091cd
\U00014378 #00014378
⒛ #0000249b
𐙆 #00010646
\U000326c3 #000326c3
뙟 #0000b65f
\U0001bd6b #0001bd6b
蹻 #00008e7b
🧢 #0001f9e2
꒬ #0000a4ac
\U0001c3ab #0001c3ab
\ue30a #0000e30a
\U0003944e #0003944e
\U000154fe #000154fe
\uf6ba #0000f6ba
䙗 #00004657
𰍴 #00030374
\U00015c91 #00015c91
印 #00005370
陋 #0000964b
\U0002f040 #0002f040
絥 #00007d65
\U0003277c #0003277c
𥏩 #000253e9
𧳢 #00027ce2
𪇪 #0002a1ea
𨬘 #00028b18
挖 #00006316
ꦵ #0000a9b5
ꭥ #0000ab65
仲 #00004ef2
𣉘 #00023258
𮉄 #0002e244
𒌄 #00012304
𑦶 #000119b6
𐙋 #0001064b
𩺅 #00029e85
ↇ #00002187
칲 #0000ce72
𥌹 #00025339
𢮈 #00022b88
岱 #00005cb1
\U00038dbe #00038dbe
\U0003821f #0003821f
뿛 #0000bfdb
曞 #000066de
鏉 #000093c9
𰆃 #00030183
\U000399a0 #000399a0
\U0003b1e2 #0003b1e2
\U0001bb3f #0001bb3f
𤟠 #000247e0
\U0003d8e4 #0003d8e4
𠛫 #000206eb
\U00032e23 #00032e23
ꐔ #0000a414
\U000316f2 #000316f2
减 #000051cf
𡙝 #0002165d
\uec87 #0000ec87
ō #0000014d
\U0003a94b #0003a94b
\U00032b73 #00032b73
\U00039e37 #00039e37
\U0001ca0b #0001ca0b
\U0002f6c4 #0002f6c4
\U0002f6cf #0002f6cf
뿸 #0000bff8
荱 #00008371
\U00034d91 #00034d91
\U00031a42 #00031a42
浘 #00006d58
\U00034ed6 #00034ed6
𠥋 #0002094b
\U0003796d #0003796d
㬈 #00003b08
𗽂 #00017f42
\U0001a53c #0001a53c
ꘐ #0000a610
𫵤 #0002bd64
\U0003da7f #0003da7f
닏 #0000b2cf
\U000129f5 #000129f5
𝙴 #0001d674
𭜸 #0002d738
\uea45 #0000ea45
⍝ #0000235d
\ue44b #0000e44b
𬮹 #0002cbb9
\U000351f2 #000351f2
\uea4f #0000ea4f
\U0003fa6b #0003fa6b
ꨀ #0000aa00
𢴃 #00022d03
\U00038750 #00038750
𨧀 #000289c0
\U00033a6e #00033a6e
\ufaff #0000faff
𦤕 #00026915
\U000156bc #000156bc
䛹 #000046f9
\U0003fc96 #0003fc96
𔑄 #00014444
𬤪 #0002c92a
𮝖 #0002e756
ዶ #000012f6
\U0001a086 #0001a086
\U0003b16c #0003b16c
线 #00007ebf
𞲑 #0001ec91
𡓎 #000214ce
\U00037ea3 #00037ea3
\U00010d8c #00010d8c
🂲 #0001f0b2
퐆 #0000d406
𭳐 #0002dcd0
\U0001c87b #0001c87b
试 #00008bd5
酶 #00009176
𫇆 #0002b1c6
𱊼 #000312bc
𡘿 #0002163f
𥉍 #0002524d
䦝 #0000499d
𨳢 #00028ce2
㾺 #00003fba
\U00032f91 #00032f91
\U00033a14 #00033a14
攸 #00006538
\uee33 #0000ee33
\U00013bbc #00013bbc
𥆎 #0002518e
鶟 #00009d9f
ꓶ #0000a4f6
𦱷 #00026c77
𰳁 #00030cc1
\U0003c46c #0003c46c
\U00032c6b #00032c6b
𬮵 #0002cbb5
ꀶ #0000a036
ޜ #0000079c
\U0003a375 #0003a375
𩿷 #00029ff7
𦂠 #000260a0
𪬸 #0002ab38
赫 #00008d6b
𬉙 #0002c259
镇 #00009547
ᙤ #00001664
\U00018e35 #00018e35
\U0003fc11 #0003fc11
\ue4e4 #0000e4e4
\U0002ffde #0002ffde
\U0001ad80 #0001ad80
Ꭳ #000013a3
𫲓 #0002bc93
\U00039ed1 #00039ed1
贡 #00008d21
𗁁 #00017041
𰽹 #00030f79
𡙈 #00021648
\U0002f442 #0002f442
\U0003b57b #0003b57b
\U0001b4c8 #0001b4c8
\U00036698 #00036698
\U000164c8 #000164c8
废 #00005e9f
쭄 #0000cb44
𰱷 #00030c77
𡹙 #00021e59
យ #00001799
\U0003612c #0003612c
\U0001df8b #0001df8b
\U00015db7 #00015db7
漒 #00006f12
𝠂 #0001d802
\U00014f15 #00014f15
켎 #0000cf0e
\U0003d400 #0003d400
寺 #00005bfa
𨦥 #000289a5
𥼹 #00025f39
𐔍 #0001050d
\U000314b7 #000314b7
𑿦 #00011fe6
𗑼 #0001747c
𮥹 #0002e979
ጭ #0000132d
\U0001eea0 #0001eea0
\ua4cd #0000a4cd
\U0003b99b #0003b99b
𡕬 #0002156c
\U00039eba #00039eba
\U00013c2d #00013c2d
𫙥 #0002b665
\U0003260d #0003260d
𧤣 #00027923
갋 #0000ac0b
\U00013acb #00013acb
\U00036fca #00036fca
𗴣 #00017d23
\ue42a #0000e42a
痆 #000075c6
\U00032d9d #00032d9d
𝃏 #0001d0cf
烌 #000070cc
\U0001c674 #0001c674
\U0003753f #0003753f
電 #000096fb
𤝑 #00024751
𛆩 #0001b1a9
č #0000010d
\U0003aac3 #0003aac3
\U00034490 #00034490
\uf831 #0000f831
薥 #000085a5
𩴬 #00029d2c
ꊹ #0000a2b9
\U0003d3cd #0003d3cd
\U00013766 #00013766
\U00016ddc #00016ddc
\U0002f2d0 #0002f2d0
\U00035f9a #00035f9a
\U000192e6 #000192e6
树 #00006811
\U0003ff6c #0003ff6c
𝖱 #0001d5b1
𛰊 #0001bc0a
稜 #00007a1c
\U00012a7a #00012a7a
𘓓 #000184d3
謓 #00008b13
\U0003bd17 #0003bd17
\uf562 #0000f562
𠖿 #000205bf
\U0001e407 #0001e407
\U00033dd3 #00033dd3
孤 #00005b64
ṣ #00001e63
\U000198c8 #000198c8
𭶶 #0002ddb6
\U0003d551 #0003d551
\U00032fa2 #00032fa2
𬆔 #0002c194
\U0003456f #0003456f
𤠔 #0002f927
\U00036e7d #00036e7d
\U0003dfe4 #0003dfe4
𧦋 #0002798b
텀 #0000d140
𰁿 #0003007f
𬼅 #0002cf05
𮜦 #0002e726
𬄪 #0002c12a
𭍓 #0002d353
𠒸 #000204b8
𝛘 #0001d6d8
𬥼 #0002c97c
\U0003df22 #0003df22
𣝕 #00023755
𭴽 #0002dd3d
\U000383df #000383df
译 #00008bd1
\U0002ed3a #0002ed3a
\U0003acf7 #0003acf7
𘊨 #000182a8
𞺇 #0001ee87
\U0003f242 #0003f242
低 #00004f4e
ã #000000e3
\U00032c55 #00032c55
𱆄 #00031184
\U00039a96 #00039a96
漢 #00006f22
\U00015948 #00015948
症 #000075c7
𗾋 #00017f8b
𡩽 #00021a7d
\U00039c18 #00039c18
\U00014088 #00014088
𰄧 #00030127
\U0001968a #0001968a
𬰍 #0002cc0d
ꏉ #0000a3c9
懂 #000061c2
𭿄 #0002dfc4
헱 #0000d5f1
\U0001c948 #0001c948
整 #00006574
\U00010d4c #00010d4c
𧷱 #00027df1
𤜊 #0002470a
\U0003323d #0003323d
Ȃ #00000202
찝 #0000cc1d
鼧 #00009f27
ꮋ #0000ab8b
\U00031a3a #00031a3a
\U0001cbd6 #0001cbd6
\U0003f6da #0003f6da
쿻 #0000cffb
莕 #00008395
\U0001beda #0001beda
𤵛 #00024d5b
\uee39 #0000ee39
\U0003d247 #0003d247
\U00032830 #00032830
桥 #00006865
富 #00005bcc
\U000148b1 #000148b1
\U0003cd6e #0003cd6e
涯 #00006daf
𩷈 #00029dc8
\U0001d3ae #0001d3ae
냗 #0000b0d7
䌟 #0000431f
𦧖 #000269d6
\ue585 #0000e585
𤗮 #000245ee
𱆊 #0003118a
\U000351ae #000351ae
米 #00007c73
𬸴 #0002ce34
\U0003317b #0003317b
\U0003834a #0003834a
𦠷 #00026837
正 #00006b63
𤲷 #00024cb7
𤢟 #0002489f
\uee8d #0000ee8d
𫙦 #0002b666
𨘨 #00028628
\U00011676 #00011676
𱋿 #000312ff
购 #00008d2d
\U0003b424 #0003b424
\U00019387 #00019387
臚 #000081da
\U00016e3e #00016e3e
𣕵 #00023575
\U000363b6 #000363b6
\U000117b5 #000117b5
𘦁 #00018981
🨷 #0001fa37
𥖁 #00025581
𤶛 #00024d9b
\U00031f16 #00031f16
\U0002f57b #0002f57b
𤇢 #000241e2
窱 #00007ab1
\U0003c2f5 #0003c2f5
橻 #00006a7b
\U00033d8e #00033d8e
𪋦 #0002a2e6
\U0002ed81 #0002ed81
𨂬 #000280ac
🈪 #0001f22a
䬉 #00004b09
𤏉 #000243c9
\U00013ea7 #00013ea7
𠽟 #00020f5f
\U0001b48f #0001b48f
뾝 #0000bf9d
\U00012e1e #00012e1e
\U000322ca #000322ca
\U00019c66 #00019c66
\U0001efcb #0001efcb
\U0003e0e1 #0003e0e1
𬍎 #0002c34e
㯿 #00003bff
𨯻 #00028bfb
⤌ #0000290c
䰏 #00004c0f
𨖠 #000285a0
\U0001b3b8 #0001b3b8
𦉲 #00026272
🮭 #0001fbad
𞺉 #0001ee89
\u17ff #000017ff
𫘨 #0002b628
𭎤 #0002d3a4
𫿃 #0002bfc3
\U000354f0 #000354f0
벌 #0000bc8c
\U00015569 #00015569
𱊎 #0003128e
滩 #00006ee9
\U0001401e #0001401e
