䊗 #00004297
ￔ #0000ffd4
漏 #00006f0f
\U00033efa #00033efa
𨣬 #000288ec
\U0003683c #0003683c
\U000107a5 #000107a5
\uf1ce #0000f1ce
𦨪 #00026a2a
㶙 #00003d99
\U0003b32a #0003b32a
\U0003e40e #0003e40e
넭 #0000b12d
\U0003f87b #0003f87b
𗘀 #00017600
𑙗 #00011657
\U0003d523 #0003d523
𑒱 #000114b1
𤏰 #000243f0
掎 #0000638e
\U0003d98d #0003d98d
𓈍 #0001320d
\U0002f06b #0002f06b
ꆌ #0000a18c
\U00032577 #00032577
\U000328f9 #000328f9
\U0003443d #0003443d
\U0003f740 #0003f740
𘫅 #00018ac5
\U000149a4 #000149a4
\U0002fb74 #0002fb74
折 #00006298
𧾓 #00027f93
𬍎 #0002c34e
𧳸 #00027cf8
싴 #0000c2f4
덞 #0000b35e
靠 #00009760
𫮘 #0002bb98
篆 #00007bc6
\U0003bbcf #0003bbcf
鞢 #000097a2
𘪆 #00018a86
\U0003645d #0003645d
𗯕 #00017bd5
颜 #0000989c
𣪨 #00023aa8
\U0001b4b0 #0001b4b0
𤴁 #00024d01
쮎 #0000cb8e
㙰 #00003670
\U00032b13 #00032b13
\U0003d741 #0003d741
𫁺 #0002b07a
\U00013d40 #00013d40
𧺭 #00027ead
\U00033224 #00033224
𢎨 #000223a8
\U00038e06 #00038e06
𤉃 #00024243
\U00037d09 #00037d09
蕳 #00008573
\U0001cf5b #0001cf5b
\U00031af6 #00031af6
\uf2b9 #0000f2b9
𠱢 #00020c62
𨻍 #00028ecd
𮋵 #0002e2f5
\U000331aa #000331aa
ꌔ #0000a314
𬣿 #0002c8ff
먢 #0000ba22
ⵔ #00002d54
\U0001aec1 #0001aec1
\U0003d6c5 #0003d6c5
\U00011f85 #00011f85
\U00033262 #00033262
\U0002f7ee #0002f7ee
𫚻 #0002b6bb
\ufbc5 #0000fbc5
𩠪 #0002982a
𝧶 #0001d9f6
\U0001aeba #0001aeba
嗯 #000055ef
🩂 #0001fa42
病 #000075c5
𡅺 #0002117a
\U0003612d #0003612d
𘡸 #00018878
乐 #00004e50
滭 #00006eed
\U00010f5f #00010f5f
𧌘 #00027318
\U0003eefe #0003eefe
𰪔 #00030a94
𐾶 #00010fb6
䎇 #00004387
ڹ #000006b9
\U0003a883 #0003a883
Ȅ #00000204
🧑 #0001f9d1
𪼙 #0002af19
\U0001ad3e #0001ad3e
䊫 #000042ab
\U0003f4b7 #0003f4b7
𩣞 #000298de
\U00011349 #00011349
\U0003f8b6 #0003f8b6
𠴴 #00020d34
\U000152a4 #000152a4
𢋏 #000222cf
\U00014f7e #00014f7e
𡸡 #00021e21
⹐ #00002e50
\U00032830 #00032830
𬩳 #0002ca73
a #00000061
\U000152f6 #000152f6
\U00038e8d #00038e8d
𓄊 #0001310a
\U00037790 #00037790
𮄞 #0002e11e
𡕌 #0002154c
𣍗 #00023357
榟 #0000699f
𢅓 #00022153
裰 #000088f0
غ #0000063a
𤼯 #00024f2f
⽥ #00002f65
𩃟 #000290df
𥺺 #00025eba
\U0002ee5f #0002ee5f
𘝜 #0001875c
𩆯 #000291af
媇 #00005a87
𘖗 #00018597
晔 #00006654
\u0c65 #00000c65
𒐵 #00012435
𰫒 #00030ad2
𢧏 #000229cf
둗 #0000b457
𑂁 #00011081
𠸣 #00020e23
\U00037086 #00037086
\U00033a99 #00033a99
𮃚 #0002e0da
\U0003e89d #0003e89d
𬳞 #0002ccde
ഉ #00000d09
\u0b7f #00000b7f
𞺡 #0001eea1
𧣳 #000278f3
\U000347f9 #000347f9
𩶮 #00029dae
𩂠 #000290a0
\uf088 #0000f088
𣨢 #00023a22
\U00031513 #00031513
㦐 #00003990
\U0003a4b5 #0003a4b5
𩣊 #000298ca
\U00013a49 #00013a49
府 #00005e9c
\U000136e2 #000136e2
🏛 #0001f3db
\U0001a50f #0001a50f
嵁 #00005d41
ꉸ #0000a278
\U0003b504 #0003b504
\U00039886 #00039886
뵼 #0000bd7c
术 #0000672f
\uf6c5 #0000f6c5
案 #00006848
\U00033230 #00033230
\U0001ed63 #0001ed63
𨞢 #000287a2
𠑻 #0002047b
\U00039062 #00039062
\U00039de5 #00039de5
\U00018e6b #00018e6b
𝞲 #0001d7b2
\uf69c #0000f69c
𡠳 #00021833
𰋽 #000302fd
縼 #00007e3c
뚆 #0000b686
샘 #0000c0d8
\U000151f1 #000151f1
𣘨 #00023628
ꦙ #0000a999
⦐ #00002990
🙠 #0001f660
𦛈 #000266c8
𫑡 #0002b461
\U0001a1aa #0001a1aa
Ἡ #00001f29
𗂗 #00017097
\uea5f #0000ea5f
\U00033893 #00033893
\U0001da8f #0001da8f
\u1c38 #00001c38
娾 #00005a3e
죙 #0000c8d9
\U00019f57 #00019f57
𔖞 #0001459e
𭡤 #0002d864
\U00032f8b #00032f8b
𰥁 #00030941
ࢳ #000008b3
\U0003f370 #0003f370
ᓾ #000014fe
\U00015aff #00015aff
ᥦ #00001966
𤚘 #00024698
超 #00008d85
靪 #0000976a
\ueaa7 #0000eaa7
\U00036fba #00036fba
该 #00008be5
\U0001fe82 #0001fe82
\U0001a956 #0001a956
᠒ #00001812
历 #00005386
\U0001f7f4 #0001f7f4
𐚳 #000106b3
𧙬 #0002766c
𛱣 #0001bc63
爔 #00007214
\U00038ccf #00038ccf
希 #00005e0c
\U0001986a #0001986a
𘢓 #00018893
嘫 #0000562b
𣵅 #00023d45
𤷎 #00024dce
\U00033228 #00033228
𦕿 #0002657f
\U000325bd #000325bd
𣋄 #000232c4
𡝱 #00021771
𨊛 #0002829b
\U0001feea #0001feea
\U00032657 #00032657
\U0003b1b2 #0003b1b2
\U00019b61 #00019b61
𮫜 #0002eadc
𰄃 #00030103
쳣 #0000cce3
Ờ #00001edc
\U0003b6f5 #0003b6f5
챆 #0000cc46
ᩤ #00001a64
𰥯 #0003096f
\U00016543 #00016543
\U00016ffb #00016ffb
\U0003a79b #0003a79b
𠒜 #0002049c
🂓 #0001f093
𭄮 #0002d12e
굔 #0000ad54
\U00036061 #00036061
羚 #0000f9af
\U0003756c #0003756c
𢥤 #00022964
\U00038900 #00038900
\U00036247 #00036247
\U0003e05a #0003e05a
𭊞 #0002d29e
𰲉 #00030c89
㿤 #00003fe4
𰛻 #000306fb
\U0003eafc #0003eafc
𡐋 #0002140b
\U00010bbf #00010bbf
\U00033f2a #00033f2a
鉬 #0000926c
\ueba8 #0000eba8
\U0001961d #0001961d
븿 #0000be3f
𗥮 #0001796e
\U0003385b #0003385b
\U00035790 #00035790
\uf362 #0000f362
𢊖 #00022296
𥒨 #000254a8
㲈 #00003c88
焩 #00007129
П #0000041f
黑 #00009ed1
\U00018f62 #00018f62
\uf032 #0000f032
க #00000b95
侽 #00004fbd
ﳱ #0000fcf1
𥾵 #00025fb5
𣵳 #00023d73
\U0003961c #0003961c
\U00033cd8 #00033cd8
𣽽 #00023f7d
𰨑 #00030a11
꾲 #0000afb2
教 #00006559
\U00032843 #00032843
\U000394d2 #000394d2
𪼼 #0002af3c
袇 #00008887
𬊑 #0002c291
㪲 #00003ab2
孎 #00005b4e
\U0003f625 #0003f625
\U0003bf9d #0003bf9d
\U0001496f #0001496f
\U000105fb #000105fb
\U0003615d #0003615d
蘡 #00008621
\U0003414f #0003414f
\U0001e5e6 #0001e5e6
\U00035fda #00035fda
\U00012fdf #00012fdf
\uf327 #0000f327
𤹫 #00024e6b
𖢐 #00016890
쒖 #0000c496
ෝ #00000ddd
\U0003da6b #0003da6b
喆 #00005586
\U00016199 #00016199
\U0001e6e6 #0001e6e6
𤿄 #00024fc4
뜇 #0000b707
𣽠 #00023f60
﹗ #0000fe57
\U0001a54b #0001a54b
\U000149c7 #000149c7
𫩒 #0002ba52
뉼 #0000b27c
𭖅 #0002d585
\U00033400 #00033400
𒄈 #00012108
𡕬 #0002156c
𦉖 #00026256
𤬃 #00024b03
\U00010c64 #00010c64
︪ #0000fe2a
𮊼 #0002e2bc
㡜 #0000385c
𢣞 #000228de
𓌄 #00013304
𫏇 #0002b3c7
\U00037ac9 #00037ac9
\U0001a467 #0001a467
霟 #0000971f
仪 #00004eea
𐽒 #00010f52
\U0001a831 #0001a831
𭧋 #0002d9cb
\U0001be9a #0001be9a
\U0003f49d #0003f49d
կ #0000056f
何 #00004f55
\u18f9 #000018f9
嬇 #00005b07
𧪻 #00027abb
\U00039e25 #00039e25
툀 #0000d200
\U0002fc50 #0002fc50
\n #0000000a
\U00016501 #00016501
\U0001ba8c #0001ba8c
𪵴 #0002ad74
\U0002edbe #0002edbe
𔑣 #00014463
\U00031f2f #00031f2f
\U0003dfaa #0003dfaa
\U0001cb89 #0001cb89
\U0001ccdc #0001ccdc
\U0002f559 #0002f559
𣏡 #000233e1
辎 #00008f8e
ữ #00001eef
\U00034f55 #00034f55
짆 #0000c9c6
\U00038224 #00038224
\ue7a4 #0000e7a4
\U000381a0 #000381a0
𘞪 #000187aa
𧦇 #00027987
\U00039c21 #00039c21
\U0001fe8e #0001fe8e
쑊 #0000c44a
𠜭 #0002072d
\U0001bdb0 #0001bdb0
𭹖 #0002de56
𪄇 #0002a107
𨵑 #00028d51
𣠑 #00023811
蜐 #00008710
\U0003c48f #0003c48f
\U000190c5 #000190c5
\U0003cdb8 #0003cdb8
𤰢 #00024c22
𧪇 #00027a87
\U00032d17 #00032d17
𬆂 #0002c182
𐼜 #00010f1c
𮗑 #0002e5d1
𡤵 #00021935
\uee45 #0000ee45
\U00011770 #00011770
霫 #0000972b
\U0003f44c #0003f44c
\U0002ede0 #0002ede0
\U000388aa #000388aa
\U0003aabd #0003aabd
𪩗 #0002aa57
۞ #000006de
𢄁 #00022101
𘋘 #000182d8
𣍔 #00023354
𫽢 #0002bf62
땸 #0000b578
\ue131 #0000e131
\U0001b633 #0001b633
匹 #00005339
化 #00005316
𘄗 #00018117
𮭙 #0002eb59
\U00033052 #00033052
သ #0000101e
𒄦 #00012126
\U000128c7 #000128c7
\U00039eae #00039eae
\U0003d80f #0003d80f
𩧵 #000299f5
\U0003f00a #0003f00a
𪂼 #0002a0bc
\u2d6e #00002d6e
𭬀 #0002db00
𢮭 #00022bad
訋 #00008a0b
Đ #00000110
\U0001b4d9 #0001b4d9
🥰 #0001f970
𠙦 #00020666
\U0001b97d #0001b97d
\U00034687 #00034687
\u1a1c #00001a1c
≞ #0000225e
\U00031c84 #00031c84
\U0001aa2b #0001aa2b
琯 #0000742f
९ #0000096f
𤴾 #00024d3e
𢟂 #000227c2
\U00039797 #00039797
\U0002f405 #0002f405
规 #000089c4
\U0003d916 #0003d916
𤊍 #0002428d
ु #00000941
䉘 #00004258
\U000365f5 #000365f5
\U0001c3e3 #0001c3e3
\U0001a8b9 #0001a8b9
\U00035525 #00035525
𓂞 #0001309e
\U000101ba #000101ba
ꋧ #0000a2e7
𩼂 #00029f02
\U00012f73 #00012f73
\U00037b18 #00037b18
\U00038792 #00038792
𢳦 #00022ce6
𭺏 #0002de8f
\U00038583 #00038583
\U00038369 #00038369
𢕹 #00022579
𰖰 #000305b0
𫉬 #0002b26c
\U00015750 #00015750
ﻧ #0000fee7
\U0003bc0d #0003bc0d
씻 #0000c53b
\U0003d1aa #0003d1aa
𤆔 #00024194
\U0002f09c #0002f09c
𧗴 #000275f4
愁 #00006101
\U00013a9e #00013a9e
\U00018e61 #00018e61
𒁳 #00012073
ꂷ #0000a0b7
컩 #0000cee9
찥 #0000cc25
组 #00007ec4
宊 #00005b8a
꒔ #0000a494
𡂴 #000210b4
𤈖 #00024216
\U00033335 #00033335
T #00000054
\U0003bfa3 #0003bfa3
\uec9e #0000ec9e
𠤋 #0002090b
𥃃 #000250c3
㎂ #00003382
舄 #0002f98c
\U00016129 #00016129
𥠿 #0002583f
\U00036d72 #00036d72
𣺕 #00023e95
\U0003b1e3 #0003b1e3
\U000354e2 #000354e2
𧾾 #00027fbe
\U00038302 #00038302
ꌝ #0000a31d
𘝆 #00018746
\U000376e1 #000376e1
\U000339b5 #000339b5
\U0003150d #0003150d
\U000356b7 #000356b7
𑃠 #000110e0
𭥸 #0002d978
\U0003f6d8 #0003f6d8
\U0001ff74 #0001ff74
𨥱 #00028971
\U00038332 #00038332
\U0001bb70 #0001bb70
\U0003e031 #0003e031
\U0001f203 #0001f203
༼ #00000f3c
𧢆 #00027886
𪯖 #0002abd6
\U0003a470 #0003a470
\U00015771 #00015771
\U0001bb7e #0001bb7e
𠢆 #00020886
\U000361fd #000361fd
\ufdd8 #0000fdd8
𩪘 #00029a98
\uec53 #0000ec53
𐃴 #000100f4
观 #000089c2
\U00036226 #00036226
𰚽 #000306bd
\U00019db5 #00019db5
\U00032b58 #00032b58
\U0003b0d5 #0003b0d5
𪞖 #0002a796
𮪗 #0002ea97
𩋨 #000292e8
𥘯 #0002562f
\U00037d61 #00037d61
텍 #0000d14d
\U00012581 #00012581
\U0001540c #0001540c
𡊭 #000212ad
\ud7a6 #0000d7a6
𦫭 #00026aed
ﱅ #0000fc45
\U0001edc5 #0001edc5
𬐥 #0002c425
𤷛 #00024ddb
𑂩 #000110a9
\U00015518 #00015518
\U000368bb #000368bb
𓈳 #00013233
젾 #0000c83e
\U0003d90b #0003d90b
𭔫 #0002d52b
놟 #0000b19f
\U0001c359 #0001c359
冘 #00005198
𨘃 #00028603
岸 #00005cb8
𣆺 #000231ba
ℭ #0000212d
\U00015d4b #00015d4b
𒀍 #0001200d
𥌫 #0002532b
\U0003f646 #0003f646
\ue6a7 #0000e6a7
依 #00004f9d
奇 #00005947
\U00033ea8 #00033ea8
\U000136df #000136df
䱩 #00004c69
𥉸 #00025278
𮩘 #0002ea58
𬵞 #0002cd5e
\U0001cf10 #0001cf10
Ω #000003a9
🇸 #0001f1f8
\U0003ae9b #0003ae9b
༽ #00000f3d
豏 #00008c4f
\U0003bf56 #0003bf56
困 #000056f0
窜 #00007a9c
攪 #0000652a
𰂘 #00030098
\U0001a993 #0001a993
쿌 #0000cfcc
䏵 #000043f5
2 #00000032
\U0001afa2 #0001afa2
𭐣 #0002d423
\u2e9a #00002e9a
𬁌 #0002c04c
\U0002eef6 #0002eef6
尋 #00005c0b
\U0003d286 #0003d286
蘜 #0000861c
绝 #00007edd
𰈩 #00030229
\U0001cd68 #0001cd68
\U00019d82 #00019d82
𑌟 #0001131f
𨹚 #00028e5a
𐂗 #00010097
𧧅 #000279c5
𢯚 #00022bda
\U000321cd #000321cd
\U0002f786 #0002f786
𗟖 #000177d6
𨮣 #00028ba3
𮣯 #0002e8ef
\U0003662d #0003662d
虋 #0000864b
툜 #0000d21c
𥋋 #000252cb
𫅸 #0002b178
녆 #0000b146
𐜣 #00010723
𗛼 #000176fc
𝜯 #0001d72f
𭱻 #0002dc7b
𘘘 #00018618
𐘖 #00010616
뺑 #0000be91
\U0001cf8d #0001cf8d
퓡 #0000d4e1
킘 #0000d098
\U000372a6 #000372a6
\U0003562b #0003562b
\uec09 #0000ec09
\U00034fe6 #00034fe6
\U0001be8f #0001be8f
\U00036d6b #00036d6b
𬠤 #0002c824
嶝 #00005d9d
𦋬 #000262ec
\U0003c0dc #0003c0dc
욕 #0000c695
铺 #000094fa
\U000317a8 #000317a8
\U00031424 #00031424
𫖼 #0002b5bc
\U0003608a #0003608a
\U0003e7ca #0003e7ca
𤮚 #00024b9a
\U000337be #000337be
\U00036a60 #00036a60
玅 #00007385
\U00039073 #00039073
\U000143a1 #000143a1
\U0001ad44 #0001ad44
𗞭 #000177ad
抗 #00006297
胃 #000080c3
棉 #000068c9
\U00033885 #00033885
ᴉ #00001d09
𦵾 #00026d7e
\U0003e0b2 #0003e0b2
𧤋 #0002790b
𖼧 #00016f27
\U0002fe4b #0002fe4b
\U000190a2 #000190a2
\U0003d036 #0003d036
\U0003b113 #0003b113
𧵖 #00027d56
贞 #00008d1e
\U00032864 #00032864
\U00037724 #00037724
\U0001ad6a #0001ad6a
돑 #0000b3d1
\U00015453 #00015453
잟 #0000c79f
聳 #00008073
\U00013802 #00013802
𧎩 #000273a9
\U0003aa22 #0003aa22
\U0003ec02 #0003ec02
𨉹 #00028279
𮝶 #0002e776
𭾨 #0002dfa8
𱁠 #00031060
\uabfe #0000abfe
\U0002ee0a #0002ee0a
\U00035e10 #00035e10
ấ #00001ea5
擏 #000064cf
婯 #00005a6f
𥕑 #00025551
\U0001546b #0001546b
\U00012cc9 #00012cc9
ᨾ #00001a3e
\U000398bb #000398bb
𣻚 #00023eda
𗇵 #000171f5
\U000347a2 #000347a2
\U0001672a #0001672a
𐄮 #0001012e
权 #00006743
𣒮 #000234ae
ၤ #00001064
𧣑 #000278d1
\U00010f78 #00010f78
𰸯 #00030e2f
\U0003fde1 #0003fde1
\U00031fb5 #00031fb5
ᖯ #000015af
\U0001bbb5 #0001bbb5
\U0003285e #0003285e
优 #00004f18
\U00013a60 #00013a60
\U0003c3a7 #0003c3a7
\U0002f666 #0002f666
𨫤 #00028ae4
𪔷 #0002a537
𘢸 #000188b8
🠙 #0001f819
軘 #00008ed8
\U00019454 #00019454
𧈓 #00027213
\U00039895 #00039895
\U00038439 #00038439
\U0003c0eb #0003c0eb
\U0003dfa8 #0003dfa8
\U0003f764 #0003f764
\U000378b7 #000378b7
遅 #00009045
𩔴 #00029534
𭎎 #0002d38e
\U00039612 #00039612
\ue69d #0000e69d
𤕾 #0002457e
\U0001906f #0001906f
𐊜 #0001029c
ꝧ #0000a767
\U0003dda3 #0003dda3
\ue6c8 #0000e6c8
𗈳 #00017233
㜲 #00003732
\U0003ba9e #0003ba9e
鰼 #00009c3c
\U0003fe5e #0003fe5e
昻 #0000663b
𓄨 #00013128
\U00016251 #00016251
歟 #00006b5f
𦳜 #00026cdc
动 #000052a8
\U000398cd #000398cd
𘌢 #00018322
䇏 #000041cf
限 #00009650
婢 #0000fa80
𑶕 #00011d95
𧢣 #000278a3
𗿙 #00017fd9
𪃢 #0002a0e2
큩 #0000d069
\U0001565d #0001565d
\U00035baa #00035baa
\U0001fbdd #0001fbdd
𪱑 #0002ac51
𥱌 #00025c4c
\U0002f482 #0002f482
𡗏 #000215cf
뉺 #0000b27a
𘟃 #000187c3
𩽛 #00029f5b
\U0001aaa9 #0001aaa9
㽎 #00003f4e
\U0001dc48 #0001dc48
\U0001ff8a #0001ff8a
𱁊 #0003104a
\U00033299 #00033299
\U0003e3a0 #0003e3a0
᭙ #00001b59
𪭦 #0002ab66
\U0001ed42 #0001ed42
𨴉 #00028d09
ㅂ #00003142
⎊ #0000238a
𮒺 #0002e4ba
留 #00007559
\U00034c1e #00034c1e
𗂋 #0001708b
酊 #0000914a
𣨓 #00023a13
槩 #000069e9
𤗖 #000245d6
\U000326eb #000326eb
\ue9b4 #0000e9b4
銉 #00009289
\U0003257b #0003257b
\U0003825e #0003825e
괳 #0000ad33
Ɽ #00002c64
𐹭 #00010e6d
𠖤 #000205a4
₿ #000020bf
𰋰 #000302f0
𧢝 #0002789d
\U0003f131 #0003f131
𫿙 #0002bfd9
𥽷 #00025f77
畏 #0000754f
\U00036f3b #00036f3b
\U0001cdbf #0001cdbf
𘎿 #000183bf
𩒗 #00029497
缩 #00007f29
𢾕 #00022f95
\U00011be4 #00011be4
𫨋 #0002ba0b
南 #00005357
𭛽 #0002d6fd
𫲐 #0002bc90
𐑛 #0001045b
\U0003935a #0003935a
ූ #00000dd6
꯷ #0000abf7
\U00010bfa #00010bfa
𤋌 #000242cc
\U00038321 #00038321
\U00035e9e #00035e9e
𘓽 #000184fd
𣚰 #000236b0
䡖 #00004856
𭨮 #0002da2e
\U0003fe5d #0003fe5d
𰕋 #0003054b
㾑 #00003f91
\U000353a6 #000353a6
𡔫 #0002152b
氧 #00006c27
𨠐 #00028810
𭵻 #0002dd7b
𒎁 #00012381
ⳑ #00002cd1
\U0001eee4 #0001eee4
잩 #0000c7a9
璲 #000074b2
\U00034d8e #00034d8e
\U0001095c #0001095c
\U00031f52 #00031f52
𢌰 #00022330
𘟈 #000187c8
𢯇 #00022bc7
𭁖 #0002d056
𤫳 #00024af3
\U0001b99a #0001b99a
ᢑ #00001891
景 #0000666f
\U00035957 #00035957
\U0001fce0 #0001fce0
\U0002f137 #0002f137
\U00016345 #00016345
띤 #0000b764
\U0001c03f #0001c03f
𨹵 #00028e75
\U00011248 #00011248
\U000354e3 #000354e3
\U00035f62 #00035f62
\U00019fef #00019fef
\U00031c36 #00031c36
\U00014bdb #00014bdb
䆦 #000041a6
\U0003e0b1 #0003e0b1
𦆤 #000261a4
ꡅ #0000a845
໘ #00000ed8
\U0003665c #0003665c
\U0003b702 #0003b702
𣺝 #00023e9d
\U0003a864 #0003a864
\U00037337 #00037337
\U0003213e #0003213e
抬 #000062ac
𦁳 #00026073
\U00036261 #00036261
㮩 #00003ba9
\U00015c3a #00015c3a
\U0001ebe1 #0001ebe1
体 #00004f53
\uf7ca #0000f7ca
Ɱ #00002c6e
𔕇 #00014547
\U00035902 #00035902
𓏘 #000133d8
𰼊 #00030f0a
箄 #00007b84
🇴 #0001f1f4
\U0001b5e4 #0001b5e4
𭶋 #0002dd8b
脸 #00008138
\U00033362 #00033362
𫃊 #0002b0ca
𣢜 #0002389c
묵 #0000bb35
f #00000066
찃 #0000cc03
𬸲 #0002ce32
\U0001ae9c #0001ae9c
𡿯 #00021fef
륓 #0000b953
카 #0000ce74
캋 #0000ce8b
𩵖 #00029d56
𣄦 #00023126
莱 #000083b1
\uef70 #0000ef70
\U00035c9e #00035c9e
俍 #00004fcd
‱ #00002031
꼱 #0000af31
\U00037912 #00037912
\ue1bc #0000e1bc
\U0001c3af #0001c3af
\ue5d4 #0000e5d4
𝩵 #0001da75
陂 #00009642
\U000399b0 #000399b0
𗚬 #000176ac
\U00036fcb #00036fcb
\U000377c3 #000377c3
𫢰 #0002b8b0
㣌 #000038cc
𢘞 #0002261e
\ue843 #0000e843
𤓭 #000244ed
ỡ #00001ee1
𗂺 #000170ba
\uf842 #0000f842
≟ #0000225f
\U0003aba6 #0003aba6
\U00019562 #00019562
\U0003b636 #0003b636
\U00038e37 #00038e37
\U00031e0b #00031e0b
\U00036991 #00036991
𤟾 #000247fe
㝼 #0000377c
\U00031759 #00031759
ل #00000644
誠 #00008aa0
𗴟 #00017d1f
\U0001ab5e #0001ab5e
\U000161e3 #000161e3
텴 #0000d174
䉉 #00004249
\U000399dd #000399dd
\u0ee5 #00000ee5
\U00015d25 #00015d25
\U0001a43b #0001a43b
ラ #000030e9
𘯙 #00018bd9
𮫯 #0002eaef
趑 #00008d91
𨑌 #0002844c
𪀒 #0002a012
๔ #00000e54
\U00033082 #00033082
𘌵 #00018335
制 #00005236
ฌ #00000e0c
\U00038c1d #00038c1d
\U00038989 #00038989
\U00034442 #00034442
\U00039916 #00039916
䮕 #00004b95
𨁄 #00028044
\U0003def8 #0003def8
\U00013dc4 #00013dc4
𫉃 #0002b243
\ue829 #0000e829
\U00010d48 #00010d48
𡦉 #00021989
𬤣 #0002c923
吏 #0000f9de
𨙘 #00028658
\U00014d44 #00014d44
𝐯 #0001d42f
郑 #000090d1
餢 #00009922
终 #00007ec8
𡅛 #0002115b
𗒇 #00017487
\U00034026 #00034026
𩬞 #00029b1e
🙿 #0001f67f
\U0001a2b0 #0001a2b0
\U0003d2e8 #0003d2e8
䮽 #00004bbd
䩦 #00004a66
𮀱 #0002e031
꒤ #0000a4a4
\U00038ed7 #00038ed7
\U000349cb #000349cb
氏 #00006c0f
𬢽 #0002c8bd
ი #000010d8
\U0002ef42 #0002ef42
𡭁 #00021b41
䗗 #000045d7
𝕏 #0001d54f
𣿻 #00023ffb
⢵ #000028b5
Ꭴ #000013a4
\U00033aee #00033aee
\U0003a9a1 #0003a9a1
\U0001a5ef #0001a5ef
𗈡 #00017221
𠤡 #00020921
𬁕 #0002c055
𬻥 #0002cee5
\U000161c5 #000161c5
𤂲 #000240b2
\U0001def4 #0001def4
\U00016366 #00016366
\U000376d8 #000376d8
𑋙 #000112d9
䧅 #000049c5
\U0003a442 #0003a442
𬪰 #0002cab0
ᓂ #000014c2
𡞵 #000217b5
\U00015f99 #00015f99
𭟙 #0002d7d9
𠙣 #00020663
🨂 #0001fa02
𨜶 #00028736
𝀭 #0001d02d
㘂 #00003602
\U0003a120 #0003a120
\U00031fc8 #00031fc8
컂 #0000cec2
😫 #0001f62b
𧮎 #00027b8e
𧽥 #00027f65
\U0003565c #0003565c
蝫 #0002f9bd
켄 #0000cf04
\U0001db39 #0001db39
\U000196e9 #000196e9
꒹ #0000a4b9
\U0001990b #0001990b
𗣾 #000178fe
\U0001e19e #0001e19e
𢰉 #00022c09
\U000158f7 #000158f7
𘚎 #0001868e
\U0003db6c #0003db6c
𧗞 #000275de
\U0001568a #0001568a
\U0001cf21 #0001cf21
𘗗 #000185d7
𐙄 #00010644
㣑 #000038d1
㘛 #0000361b
\U00014c86 #00014c86
\U0001eb76 #0001eb76
\U00039ddc #00039ddc
\U0001baf0 #0001baf0
\U0003717a #0003717a
꿎 #0000afce
\U00016c90 #00016c90
\U00038c0b #00038c0b
ế #00001ebf
\U00033e96 #00033e96
\U0001b4c1 #0001b4c1
\U0003868d #0003868d
蔂 #00008502
\U0001ba40 #0001ba40
𡯦 #00021be6
吻 #0000543b
有 #00006709
𩔹 #00029539
\U0001bdfd #0001bdfd
🞯 #0001f7af
𬝅 #0002c745
\U00039674 #00039674
\U00033089 #00033089
𥐊 #0002540a
𨧜 #000289dc
檗 #00006a97
Þ #000000de
\U0003bdd1 #0003bdd1
𦧻 #000269fb
服 #0000670d
\U00039693 #00039693
\ue9f2 #0000e9f2
邩 #000090a9
\U0001402f #0001402f
䖈 #00004588
𠮊 #00020b8a
\U0001bb10 #0001bb10
🬛 #0001fb1b
∕ #00002215
\U00039a3b #00039a3b
פ #000005e4
𝥻 #0001d97b
蹥 #00008e65
𓄪 #0001312a
掩 #000063a9
\U00038a93 #00038a93
\ue506 #0000e506
\U0001b328 #0001b328
\U000192b1 #000192b1
𦀁 #00026001
\U0003c7ff #0003c7ff
𭓟 #0002d4df
𤞴 #000247b4
\uf332 #0000f332
\U00037636 #00037636
\U0003cf59 #0003cf59
𢉎 #0002224e
\U00036b59 #00036b59
\U00019492 #00019492
𧥿 #0002797f
𑆟 #0001119f
\U00035f73 #00035f73
\U00014f60 #00014f60
\U0001b9ff #0001b9ff
𫻳 #0002bef3
𠕱 #00020571
ﭤ #0000fb64
\U00019e73 #00019e73
𥢠 #000258a0
𧮀 #00027b80
\U0001aca8 #0001aca8
\U0002eecd #0002eecd
迈 #00008fc8
\U00033fb4 #00033fb4
\U0003fd7f #0003fd7f
暢 #000066a2
鳿 #00009cff
豊 #00008c4a
\U00014b37 #00014b37
汝 #00006c5d
\U00032530 #00032530
嶎 #00005d8e
蚘 #00008698
𤙮 #0002466e
𒓑 #000124d1
𤢇 #00024887
\U0001cc0b #0001cc0b
𮪯 #0002eaaf
\U00031713 #00031713
\U00014851 #00014851
𐩤 #00010a64
犟 #0000729f
𩓵 #000294f5
\U0001c40a #0001c40a
\U000319c0 #000319c0
𖣈 #000168c8
\U00013780 #00013780
𖹐 #00016e50
\U00035dd8 #00035dd8
𰣯 #000308ef
ڍ #0000068d
\U00015242 #00015242
\U0001eea0 #0001eea0
\U00016475 #00016475
𬋀 #0002c2c0
𖢊 #0001688a
𭤳 #0002d933
\U0001b4e5 #0001b4e5
𰸄 #00030e04
끙 #0000b059
\U00014bc6 #00014bc6
\U0002ed28 #0002ed28
\U0003d562 #0003d562
\U0003b28b #0003b28b
\U0003e752 #0003e752
𘏼 #000183fc
\U0003d383 #0003d383
\ue310 #0000e310
𥖳 #000255b3
𓐮 #0001342e
\U00034410 #00034410
\ueddb #0000eddb
\U0003f7e1 #0003f7e1
\U00035ff9 #00035ff9
\U0003bae6 #0003bae6
