纄 #00007e84
㈯ #0000322f
𒆑 #00012191
\U00013588 #00013588
\U00033a3d #00033a3d
𮀶 #0002e036
蘓 #00008613
\U00035864 #00035864
\U00018fc9 #00018fc9
𘫺 #00018afa
\U00015e2c #00015e2c
\U0001aec1 #0001aec1
ᛃ #000016c3
\U0003ed1d #0003ed1d
\U00011f85 #00011f85
\U00036714 #00036714
𑑍 #0001144d
𮥣 #0002e963
𪝟 #0002a75f
\U00034838 #00034838
\U00015917 #00015917
𥻞 #00025ede
𪜲 #0002a732
𤷟 #00024ddf
\U00019e1e #00019e1e
𫉱 #0002b271
\U0001aeba #0001aeba
嗯 #000055ef
\U0003e394 #0003e394
ꋜ #0000a2dc
\U00011b47 #00011b47
\U000333b6 #000333b6
\U00031444 #00031444
病 #000075c5
醧 #000091a7
\U0003f761 #0003f761
䳳 #00004cf3
죣 #0000c8e3
𢽢 #00022f62
𡅺 #0002117a
\U00032a83 #00032a83
\U0003612d #0003612d
乐 #00004e50
\U00034d28 #00034d28
𧌘 #00027318
𗧎 #000179ce
\U0001d0ff #0001d0ff
\U0001583e #0001583e
\U000197f0 #000197f0
墐 #00005890
\U0001c932 #0001c932
𐾶 #00010fb6
䎇 #00004387
ﻥ #0000fee5
\U0001ccf0 #0001ccf0
\U00014fc7 #00014fc7
ڹ #000006b9
𣬕 #00023b15
\U0001948b #0001948b
繐 #00007e50
𮓮 #0002e4ee
䊫 #000042ab
\U0003e47b #0003e47b
𰠄 #00030804
ｗ #0000ff57
\U0001c5d9 #0001c5d9
\U00037515 #00037515
\U0001f28d #0001f28d
𬽰 #0002cf70
\U00016549 #00016549
➝ #0000279d
캎 #0000ce8e
\U000195c4 #000195c4
𫉜 #0002b25c
\U00014f7e #00014f7e
\U00036439 #00036439
\U000140c0 #000140c0
𪻝 #0002aedd
𰡕 #00030855
횻 #0000d6bb
\U00031581 #00031581
㽌 #00003f4c
a #00000061
\U00038dbb #00038dbb
漗 #00006f17
𓄊 #0001310a
\U0003d8f9 #0003d8f9
\U0003d24b #0003d24b
𩤥 #00029925
䘲 #00004632
𣍗 #00023357
\uec9c #0000ec9c
䢇 #00004887
𰟢 #000307e2
\U0003c42d #0003c42d
غ #0000063a
𰝝 #0003075d
돆 #0000b3c6
坫 #0000576b
𩃟 #000290df
𱇬 #000311ec
𬽣 #0002cf63
𮛅 #0002e6c5
\U0003e10d #0003e10d
\u0c65 #00000c65
𣍛 #0002335b
붣 #0000bda3
𰫒 #00030ad2
ꎴ #0000a3b4
\uf41c #0000f41c
𩝌 #0002974c
𬒤 #0002c4a4
\U00034cf9 #00034cf9
㔞 #0000351e
\U00034a6c #00034a6c
\U00034cc6 #00034cc6
\U0001ff39 #0001ff39
𩑀 #00029440
𫳪 #0002bcea
\U00015dd5 #00015dd5
\uf088 #0000f088
\U000115fb #000115fb
嫦 #00005ae6
\U00035bfd #00035bfd
\U0003e384 #0003e384
卍 #0000534d
\U0003c651 #0003c651
𩱲 #00029c72
\uea5d #0000ea5d
\U00036f07 #00036f07
府 #00005e9c
𛆌 #0001b18c
\U0003ae3e #0003ae3e
\U0002fb32 #0002fb32
\U0003f35b #0003f35b
𬠣 #0002c823
\U00039886 #00039886
𓆿 #000131bf
𰟭 #000307ed
术 #0000672f
\U000370fa #000370fa
\U000149ab #000149ab
案 #00006848
𘀐 #00018010
𧿋 #00027fcb
孪 #00005b6a
𠑻 #0002047b
𗠤 #00017824
𤬵 #00024b35
\U0003f348 #0003f348
𡠳 #00021833
𦦄 #00026984
耼 #0000803c
\u1ad5 #00001ad5
𱇈 #000311c8
𘊱 #000182b1
\U00036d40 #00036d40
𖫝 #00016add
\U0001a18c #0001a18c
宺 #00005bba
\U000364f7 #000364f7
\U00036626 #00036626
𡫙 #00021ad9
𩳔 #00029cd4
𩒕 #00029495
\U0003a429 #0003a429
酿 #0000917f
\U0003f555 #0003f555
뼡 #0000bf21
𫭧 #0002bb67
\U00032bb5 #00032bb5
㟈 #000037c8
𪼊 #0002af0a
\U0003f370 #0003f370
𘜕 #00018715
\U0003cfbe #0003cfbe
\uf67d #0000f67d
\U0003580f #0003580f
\U0001ae67 #0001ae67
𗡥 #00017865
\U00037d88 #00037d88
超 #00008d85
该 #00008be5
𪷺 #0002adfa
𠐤 #00020424
\U00037f74 #00037f74
\U0001e215 #0001e215
𠉦 #00020266
쭄 #0000cb44
历 #00005386
\U0001177c #0001177c
𐚳 #000106b3
𧙬 #0002766c
\U00039148 #00039148
\U00032312 #00032312
𩇨 #000291e8
\U000344b4 #000344b4
𱊿 #000312bf
𦫉 #00026ac9
\u0bc3 #00000bc3
𦢪 #000268aa
希 #00005e0c
ഄ #00000d04
𬻴 #0002cef4
\U0001a15f #0001a15f
\U0002f6fd #0002f6fd
𦕿 #0002657f
\U00036b06 #00036b06
𡝱 #00021771
\U0003a0ef #0003a0ef
𮫜 #0002eadc
\U0001b944 #0001b944
𖧴 #000169f4
𤛻 #000246fb
댶 #0000b336
𩱹 #00029c79
𗖋 #0001758b
\U000343dd #000343dd
\U00014379 #00014379
똁 #0000b601
\U00015359 #00015359
涠 #00006da0
嵉 #00005d49
\U0003756c #0003756c
ທ #00000e97
\U000335e9 #000335e9
𢥤 #00022964
鋀 #000092c0
\U0001a0cc #0001a0cc
𨞯 #000287af
\U0003d164 #0003d164
𫦤 #0002b9a4
𩿥 #00029fe5
𮋄 #0002e2c4
𱂕 #00031095
\U0003779b #0003779b
𑚙 #00011699
𦐑 #00026411
\uf362 #0000f362
\U0003c9e6 #0003c9e6
쐓 #0000c413
𗳺 #00017cfa
\U00038da2 #00038da2
П #0000041f
黑 #00009ed1
\U00018f62 #00018f62
\ue9d4 #0000e9d4
\U00014df4 #00014df4
க #00000b95
썈 #0000c348
䙁 #00004641
\U0003ee73 #0003ee73
\U00018f45 #00018f45
𨝅 #00028745
𦗋 #000265cb
\uef1f #0000ef1f
\U000375e6 #000375e6
𩝛 #0002975b
教 #00006559
ǻ #000001fb
\ue379 #0000e379
\U00010200 #00010200
\U00035e18 #00035e18
𠘖 #00020616
\U00036751 #00036751
\U0003bf9d #0003bf9d
\U0001496f #0001496f
𦸯 #00026e2f
\U000194b8 #000194b8
\U0003b77d #0003b77d
\U00012fe3 #00012fe3
\U00031ce6 #00031ce6
⠪ #0000282a
굈 #0000ad48
𠕔 #00020554
\uf327 #0000f327
ૌ #00000acc
\U00031776 #00031776
𘐉 #00018409
\U00014aa4 #00014aa4
𐘻 #0001063b
쒖 #0000c496
𩇣 #000291e3
𗸌 #00017e0c
𥨱 #00025a31
𱇫 #000311eb
\U00037534 #00037534
쎹 #0000c3b9
𤿄 #00024fc4
揿 #000063ff
\ueeae #0000eeae
𣽠 #00023f60
蜸 #00008738
𫟊 #0002b7ca
\U0003481f #0003481f
뉼 #0000b27c
\U0001936e #0001936e
𣥕 #00023955
ꭕ #0000ab55
\U000143dc #000143dc
𥍨 #00025368
ꇏ #0000a1cf
𗓡 #000174e1
𪈟 #0002a21f
驉 #00009a49
\U0001e38e #0001e38e
後 #00005f8c
\U0001a467 #0001a467
耩 #00008029
𢚴 #000226b4
\U0001cf41 #0001cf41
仪 #00004eea
𫇋 #0002b1cb
\U0001ab9f #0001ab9f
\U0003bbbf #0003bbbf
𨼹 #00028f39
𠉻 #0002027b
𤮷 #00024bb7
何 #00004f55
\U0003e5a8 #0003e5a8
𰨱 #00030a31
\U0003b93d #0003b93d
\U0001656a #0001656a
\U00039e25 #00039e25
\U000163b1 #000163b1
\n #0000000a
\U00032b82 #00032b82
縹 #00007e39
𩄚 #0002911a
\U0001af88 #0001af88
𪵴 #0002ad74
\U00016693 #00016693
\U00012d9a #00012d9a
𔑣 #00014463
뇿 #0000b1ff
𰌵 #00030335
\U0003be5c #0003be5c
\U0003949d #0003949d
𨸌 #00028e0c
\U0001acd3 #0001acd3
\U0001a414 #0001a414
ữ #00001eef
\U00034f55 #00034f55
𦀫 #0002602b
\U00015667 #00015667
摼 #0000647c
𩿫 #00029feb
\U0003a62d #0003a62d
ල #00000dbd
匍 #0000530d
\U0003db39 #0003db39
𠩢 #00020a62
䴀 #00004d00
ꠞ #0000a81e
\ue90f #0000e90f
\U0001bdb0 #0001bdb0
𤸒 #00024e12
譵 #00008b75
\U00013eec #00013eec
𫦀 #0002b980
\U000318f1 #000318f1
𣴙 #00023d19
\U0003d8f2 #0003d8f2
𭜞 #0002d71e
𐒆 #00010486
\U0003bba8 #0003bba8
\U0001912c #0001912c
𥧷 #000259f7
𖹔 #00016e54
𤰄 #00024c04
𛁭 #0001b06d
𑐟 #0001141f
𨶅 #00028d85
𦷅 #00026dc5
\U000349d3 #000349d3
㨀 #00003a00
𫯘 #0002bbd8
\U000154f7 #000154f7
𪩗 #0002aa57
𐬺 #00010b3a
۞ #000006de
\U00037d75 #00037d75
𣍔 #00023354
痯 #000075ef
𢭋 #00022b4b
\U00012fa4 #00012fa4
𖦑 #00016991
匹 #00005339
\U000123e0 #000123e0
化 #00005316
𘄗 #00018117
𗋶 #000172f6
\U00037a6e #00037a6e
\U00031dcd #00031dcd
\U000165b1 #000165b1
𢮭 #00022bad
\U0001e53d #0001e53d
\U00037c4b #00037c4b
\U0001efaf #0001efaf
Đ #00000110
\uf0b1 #0000f0b1
𧞿 #000277bf
\U0003b8d5 #0003b8d5
➿ #000027bf
\U00011851 #00011851
\U000191cc #000191cc
\U000143c1 #000143c1
\uf547 #0000f547
蠝 #0000881d
𢠯 #0002282f
𗆕 #00017195
९ #0000096f
\U0002fd2f #0002fd2f
𫛄 #0002b6c4
\U00037dd4 #00037dd4
\U00039797 #00039797
䙣 #00004663
\U0001eff3 #0001eff3
괫 #0000ad2b
\U0001a2d0 #0001a2d0
规 #000089c4
ु #00000941
폡 #0000d3e1
\U000338e1 #000338e1
\U0001ca83 #0001ca83
𨿢 #00028fe2
狆 #000072c6
𰧐 #000309d0
\U0003758a #0003758a
\U0001281a #0001281a
\U00038089 #00038089
\U0003ae19 #0003ae19
\U00013822 #00013822
\U00034bc1 #00034bc1
\U00011ba4 #00011ba4
\U0001a8ab #0001a8ab
𠌉 #00020309
\U0002f6a1 #0002f6a1
\U0003aadb #0003aadb
\U0001d2ba #0001d2ba
\U0003e4cd #0003e4cd
𭺏 #0002de8f
ꎁ #0000a381
𰖰 #000305b0
𨏍 #000283cd
\U0002f31f #0002f31f
\U0003dccf #0003dccf
𮣇 #0002e8c7
𑩒 #00011a52
\U00031882 #00031882
㴵 #00003d35
\uf235 #0000f235
𐤃 #00010903
\U00034387 #00034387
\U0003fc95 #0003fc95
\U00012ec9 #00012ec9
\U00010242 #00010242
\U0003d2ce #0003d2ce
\U000394f2 #000394f2
\U00016c33 #00016c33
𩤂 #00029902
\U00011397 #00011397
ꄔ #0000a114
𧿝 #00027fdd
\U0003fca4 #0003fca4
\U00039d23 #00039d23
\U0001a19f #0001a19f
\U00038983 #00038983
\U0001e588 #0001e588
\U0003bbe5 #0003bbe5
𫏕 #0002b3d5
\U0001931b #0001931b
🩒 #0001fa52
컵 #0000cef5
\U0003f38d #0003f38d
\U0001a809 #0001a809
组 #00007ec4
偂 #00005042
\U0001b79e #0001b79e
𡰛 #00021c1b
\U00012673 #00012673
꒔ #0000a494
𥫖 #00025ad6
𩻼 #00029efc
\U00019dec #00019dec
淪 #0000f9d6
T #00000054
\U00033841 #00033841
𢛃 #000226c3
㎂ #00003382
㖮 #000035ae
𤚲 #000246b2
𫺊 #0002be8a
\U0003c388 #0003c388
\U00038e8a #00038e8a
힆 #0000d786
抶 #000062b6
\U0001bf71 #0001bf71
𝓕 #0001d4d5
\U0003c5fa #0003c5fa
𗊖 #00017296
\U0003e1bf #0003e1bf
𣺕 #00023e95
\U0003cb2b #0003cb2b
ꔰ #0000a530
\U00012899 #00012899
\U0001622f #0001622f
龷 #00009fb7
\U00031f2b #00031f2b
\U0002ff01 #0002ff01
\U00038302 #00038302
𘝆 #00018746
\U0003c0d1 #0003c0d1
ⴲ #00002d32
\U0003150d #0003150d
\U00013aab #00013aab
\U00031ffb #00031ffb
\ue8d7 #0000e8d7
ꄁ #0000a101
\U00033160 #00033160
𭥸 #0002d978
𨪘 #00028a98
\U0001cc7d #0001cc7d
\U0003f6d8 #0003f6d8
𘗭 #000185ed
\U00038332 #00038332
\U0002f416 #0002f416
𡂹 #000210b9
\U00019a39 #00019a39
\U00033024 #00033024
𗜎 #0001770e
\U0003a470 #0003a470
𐙰 #00010670
\U0003b672 #0003b672
勉 #000052c9
𐺣 #00010ea3
\U00031df5 #00031df5
𠢆 #00020886
\U00011e7e #00011e7e
\U0001644d #0001644d
\U0001c796 #0001c796
\U0003d7cb #0003d7cb
\U0003cf72 #0003cf72
с #00000441
\U0003bf4a #0003bf4a
\U00036100 #00036100
뿛 #0000bfdb
观 #000089c2
𨵋 #00028d4b
𡅅 #00021145
𬟦 #0002c7e6
🤖 #0001f916
\U0003de89 #0003de89
\U00014af1 #00014af1
𡿞 #00021fde
\U00033487 #00033487
\U0001540c #0001540c
🮸 #0001fbb8
\U00015ceb #00015ceb
ѷ #00000477
𘧎 #000189ce
𖺂 #00016e82
𢚗 #00022697
𠷕 #00020dd5
𩀥 #00029025
𥼵 #00025f35
\U0001a31e #0001a31e
𠛾 #000206fe
𓈳 #00013233
𑈋 #0001120b
鉌 #0000924c
\U000399ca #000399ca
𮤱 #0002e931
\u193e #0000193e
岸 #00005cb8
𰊃 #00030283
₴ #000020b4
\U000384fe #000384fe
\U000126c2 #000126c2
𐛹 #000106f9
𮑡 #0002e461
𮁑 #0002e051
依 #00004f9d
奇 #00005947
綅 #00007d85
\U00033ea8 #00033ea8
\U00039946 #00039946
𧢶 #000278b6
\U000192db #000192db
𧝪 #0002776a
튃 #0000d283
𧔘 #00027518
𝇨 #0001d1e8
𬺔 #0002ce94
\U000190d0 #000190d0
𣻵 #00023ef5
\U00039ab8 #00039ab8
𨽍 #00028f4d
𨿳 #00028ff3
痈 #000075c8
\U00011e8f #00011e8f
困 #000056f0
𤢵 #000248b5
𰂘 #00030098
\U0001a993 #0001a993
\U00010d50 #00010d50
2 #00000032
\U000334c3 #000334c3
䴨 #00004d28
𣪫 #00023aab
𫜃 #0002b703
ᛲ #000016f2
먠 #0000ba20
ⶽ #00002dbd
퓒 #0000d4d2
\U0003aca5 #0003aca5
\u2e9a #00002e9a
\U00034a4a #00034a4a
𬆶 #0002c1b6
씇 #0000c507
\U00034b64 #00034b64
𤜋 #0002470b
\U0003987b #0003987b
鷉 #00009dc9
𡧁 #000219c1
绝 #00007edd
𦙭 #0002666d
𣳆 #00023cc6
\U0003ed7b #0003ed7b
\U00032a8d #00032a8d
\U0003d75b #0003d75b
ꘇ #0000a607
𠽷 #00020f77
\uabfa #0000abfa
\U00035038 #00035038
\U0003636c #0003636c
𫈽 #0002b23d
ቔ #00001254
\U000373c7 #000373c7
\U0003b9b3 #0003b9b3
㠃 #00003803
𪹍 #0002ae4d
ၰ #00001070
𥤄 #00025904
𩠕 #00029815
𨮣 #00028ba3
𫒽 #0002b4bd
\U0001510b #0001510b
𒑟 #0001245f
𡖜 #0002159c
𥋋 #000252cb
\U00015f85 #00015f85
𬬔 #0002cb14
붦 #0000bda6
苬 #000082ec
ᑔ #00001454
𐴁 #00010d01
\U00031479 #00031479
\U00033895 #00033895
𣄟 #0002311f
\U000149e8 #000149e8
\U00010e26 #00010e26
𘘘 #00018618
\U00019d8c #00019d8c
忀 #00005fc0
𡗲 #000215f2
\U0003e156 #0003e156
첡 #0000cca1
\U00034fe6 #00034fe6
𪟴 #0002a7f4
\U00039e0f #00039e0f
\U00032c69 #00032c69
𦋬 #000262ec
\U000107a1 #000107a1
铺 #000094fa
𰞥 #000307a5
뎲 #0000b3b2
𘫷 #00018af7
𤮚 #00024b9a
𐡬 #0001086c
\U0003906d #0003906d
𫰆 #0002bc06
𤃩 #000240e9
𡽕 #00021f55
\U00039073 #00039073
🩠 #0001fa60
\U000143a1 #000143a1
\uf368 #0000f368
抗 #00006297
\U00010dd8 #00010dd8
胃 #000080c3
\U000314a0 #000314a0
ߥ #000007e5
𐡜 #0001085c
\U00039d91 #00039d91
𮧏 #0002e9cf
𪁛 #0002a05b
䟉 #000047c9
\U00033d13 #00033d13
🭻 #0001fb7b
𦵾 #00026d7e
⏃ #000023c3
𫐪 #0002b42a
\U0001e0f1 #0001e0f1
\U0001c014 #0001c014
\U0003778f #0003778f
\u2fe9 #00002fe9
\U0001cbe1 #0001cbe1
𒍗 #00012357
𗽳 #00017f73
\U000190a2 #000190a2
𢫊 #00022aca
駥 #000099e5
𬚀 #0002c680
\U0003b113 #0003b113
𰡩 #00030869
ꐛ #0000a41b
\U00034832 #00034832
\U0001a298 #0001a298
𩷈 #00029dc8
\U0003197a #0003197a
𪕲 #0002a572
𬼍 #0002cf0d
𥹚 #00025e5a
ᬦ #00001b26
𗽝 #00017f5d
䏬 #000043ec
\U0003cc49 #0003cc49
\U000345fd #000345fd
\U0001abf4 #0001abf4
嫚 #00005ada
\U0003d3e8 #0003d3e8
𥰵 #00025c35
𗒷 #000174b7
𭾨 #0002dfa8
\U0001059c #0001059c
\U000142ca #000142ca
렔 #0000b814
𤄏 #0002410f
\U0003785a #0003785a
ấ #00001ea5
𧇩 #000271e9
𩲏 #00029c8f
늩 #0000b2a9
😳 #0001f633
\uedd6 #0000edd6
\U000326cf #000326cf
𗾋 #00017f8b
权 #00006743
𩶨 #00029da8
𣒮 #000234ae
𧣑 #000278d1
𩉂 #00029242
𰸯 #00030e2f
ᤝ #0000191d
𮕇 #0002e547
𮘸 #0002e638
优 #00004f18
𪐓 #0002a413
\U0003b241 #0003b241
\U00033a17 #00033a17
𬱞 #0002cc5e
\U0003558a #0003558a
𰋣 #000302e3
𘢸 #000188b8
𡮄 #00021b84
𫿠 #0002bfe0
\U0003e067 #0003e067
𪴵 #0002ad35
𪌸 #0002a338
𪥰 #0002a970
𥊲 #000252b2
⺁ #00002e81
\U000344a4 #000344a4
\U0001c094 #0001c094
𢝾 #0002277e
\U00015ebb #00015ebb
\U00011aa7 #00011aa7
㢮 #000038ae
𮔤 #0002e524
\U00039e81 #00039e81
🔾 #0001f53e
𔔽 #0001453d
\U0003eaba #0003eaba
𓁟 #0001305f
𦠗 #00026817
ꝧ #0000a767
\U00039e8d #00039e8d
\U0003452e #0003452e
蠶 #00008836
\ue4e4 #0000e4e4
𤠉 #00024809
푕 #0000d455
袴 #000088b4
\U0001fbe0 #0001fbe0
\U0001c329 #0001c329
歟 #00006b5f
\U000359c5 #000359c5
광 #0000ad11
动 #000052a8
🖸 #0001f5b8
\U00037114 #00037114
𠋱 #000202f1
\U00037df3 #00037df3
限 #00009650
\U00035d67 #00035d67
𨳩 #00028ce9
婢 #0000fa80
\U00036929 #00036929
𧢣 #000278a3
𪃢 #0002a0e2
𫏛 #0002b3db
畽 #0000757d
ᕜ #0000155c
\U00035baa #00035baa
\U0003b84b #0003b84b
\U0003e3d8 #0003e3d8
✜ #0000271c
\U0001dd05 #0001dd05
\U00033ba9 #00033ba9
𘟃 #000187c3
\U0003d198 #0003d198
\U000354f1 #000354f1
胶 #000080f6
\U00033f65 #00033f65
𣌼 #0002333c
𘂎 #0001808e
\U0001e577 #0001e577
𩵆 #00029d46
𡦲 #000219b2
\U0001ea0a #0001ea0a
᭙ #00001b59
鄹 #00009139
𣲪 #00023caa
\U0001006d #0001006d
\uf381 #0000f381
\U0003ca5a #0003ca5a
嘍 #0000560d
留 #00007559
瘯 #0000762f
\U00036812 #00036812
\U00038071 #00038071
\U00032808 #00032808
\U0001df8c #0001df8c
𗔳 #00017533
띹 #0000b779
\U000342fa #000342fa
\U00035459 #00035459
끏 #0000b04f
\U0001ba37 #0001ba37
\U0003d76d #0003d76d
\U0001df8d #0001df8d
𬞩 #0002c7a9
𤖮 #000245ae
\U00015438 #00015438
𧢝 #0002789d
𤍊 #0002434a
畏 #0000754f
缩 #00007f29
𢦇 #00022987
南 #00005357
\U0003a976 #0003a976
\U0003153c #0003153c
‣ #00002023
ූ #00000dd6
\U00036f77 #00036f77
∓ #00002213
\U00032714 #00032714
\U0001351b #0001351b
쥅 #0000c945
༃ #00000f03
\U000147df #000147df
\U0003fe5d #0003fe5d
𩗰 #000295f0
⠟ #0000281f
렿 #0000b83f
氧 #00006c27
\U000351b8 #000351b8
𦌻 #0002633b
𥡁 #00025841
\U00013a36 #00013a36
𮉈 #0002e248
弲 #00005f32
\U00039ee6 #00039ee6
𠆯 #000201af
\U0002ed83 #0002ed83
𰒣 #000304a3
𘩏 #00018a4f
𤄵 #00024135
𤬜 #00024b1c
𢌰 #00022330
𩫳 #00029af3
鳜 #00009cdc
景 #0000666f
𬊸 #0002c2b8
𢆍 #0002218d
\U0002fc14 #0002fc14
㒗 #00003497
\U0003e318 #0003e318
\U0001e30a #0001e30a
𘳇 #00018cc7
\U00016345 #00016345
\U00038e9b #00038e9b
띤 #0000b764
\U00036b9f #00036b9f
\U00012e2e #00012e2e
𓌇 #00013307
𫘎 #0002b60e
𞸚 #0001ee1a
\U0003b5f1 #0003b5f1
𩧈 #000299c8
🌥 #0001f325
\U000358d6 #000358d6
\U000322f1 #000322f1
毘 #00006bd8
𡾲 #00021fb2
𩒙 #00029499
\U0003a928 #0003a928
ܭ #0000072d
体 #00004f53
𢴩 #00022d29
\U0001b713 #0001b713
𓐗 #00013417
\U0003ab33 #0003ab33
\U00033c61 #00033c61
𭲟 #0002dc9f
\U0003cb44 #0003cb44
ঞ #0000099e
\U00013fd1 #00013fd1
\U0001fabc #0001fabc
\U0002eec6 #0002eec6
\U0003c690 #0003c690
\U00031389 #00031389
\U0001e30c #0001e30c
𠤌 #0002090c
脸 #00008138
\U0001a9f5 #0001a9f5
댹 #0000b339
\U000337fd #000337fd
𰷁 #00030dc1
紳 #00007d33
f #00000066
찃 #0000cc03
\U000378d0 #000378d0
\U0003555a #0003555a
ᦅ #00001985
\U0001c4ca #0001c4ca
𪤊 #0002a90a
𭞠 #0002d7a0
\U0001a929 #0001a929
륓 #0000b953
𮔩 #0002e529
\U0003d6fb #0003d6fb
\U00036f99 #00036f99
莱 #000083b1
\U00037912 #00037912
펡 #0000d3a1
𰾆 #00030f86
\U000344da #000344da
\U000377c3 #000377c3
𭪀 #0002da80
\U000360d4 #000360d4
ỡ #00001ee1
맩 #0000b9e9
\ue0f5 #0000e0f5
㓰 #000034f0
𡭨 #00021b68
\uece4 #0000ece4
\U0001c30b #0001c30b
𝣕 #0001d8d5
𦞶 #000267b6
𣰞 #00023c1e
\U0003aba6 #0003aba6
\U00019562 #00019562
𩆄 #00029184
𠩂 #00020a42
𩽷 #00029f77
𭿡 #0002dfe1
\U00015c12 #00015c12
𩆀 #00029180
\U000325c6 #000325c6
\U000324dc #000324dc
𫲂 #0002bc82
𧏵 #000273f5
𤟾 #000247fe
\U0003caed #0003caed
ل #00000644
\U00011785 #00011785
鲢 #00009ca2
𝤬 #0001d92c
\U0003b2eb #0003b2eb
\U0001aba3 #0001aba3
𐘣 #00010623
\U0003be99 #0003be99
𤶁 #00024d81
𝦢 #0001d9a2
\U000399dd #000399dd
\u0ee5 #00000ee5
ﺑ #0000fe91
\U0003ff1e #0003ff1e
\U00035285 #00035285
ᶗ #00001d97
\U0003f5c2 #0003f5c2
𮫯 #0002eaef
𐒙 #00010499
\U00019b91 #00019b91
๔ #00000e54
\U00038711 #00038711
\U0001ccd7 #0001ccd7
𬮷 #0002cbb7
䪁 #00004a81
鏴 #000093f4
\U0001abc2 #0001abc2
\U0003cb8e #0003cb8e
制 #00005236
\U0003ac12 #0003ac12
ฌ #00000e0c
\U0003ec33 #0003ec33
𠈫 #0002022b
𫄂 #0002b102
綇 #00007d87
𞲑 #0001ec91
\U00031d22 #00031d22
\uf782 #0000f782
\U000388ab #000388ab
𣁎 #0002304e
𰝱 #00030771
𘥴 #00018974
\U0001e5cd #0001e5cd
\U0001fabd #0001fabd
\U00031bda #00031bda
\U00039916 #00039916
\U000386d1 #000386d1
𨁄 #00028044
\U0003def8 #0003def8
\U0003a6d6 #0003a6d6
\U000197b9 #000197b9
\uef40 #0000ef40
\U0003f73d #0003f73d
𨙘 #00028658
𨈀 #00028200
蛝 #000086dd
𤦐 #00024990
终 #00007ec8
\U0003a4ee #0003a4ee
\U00014ba5 #00014ba5
𛂾 #0001b0be
𑣑 #000118d1
𱌌 #0003130c
𪤨 #0002a928
\U0003ba04 #0003ba04
\U0003a922 #0003a922
葇 #00008447
𨋺 #000282fa
ᇕ #000011d5
𧥛 #0002795b
𘲳 #00018cb3
𮝄 #0002e744
\U000383eb #000383eb
𘁎 #0001804e
\U0003dfb2 #0003dfb2
\U00016dea #00016dea
\U0003b135 #0003b135
氏 #00006c0f
숌 #0000c20c
\U0003637e #0003637e
𰑤 #00030464
𧂴 #000270b4
\U000142ba #000142ba
\U0001ff35 #0001ff35
ᯮ #00001bee
\U00033625 #00033625
𮡞 #0002e85e
\U0003ac4d #0003ac4d
𬴳 #0002cd33
𩺬 #00029eac
𥱘 #00025c58
\U0003fefe #0003fefe
\U00037bd8 #00037bd8
\U000399a1 #000399a1
譊 #00008b4a
\U00013d94 #00013d94
𰴛 #00030d1b
ퟥ #0000d7e5
𭸱 #0002de31
䟃 #000047c3
𘅒 #00018152
\U00015081 #00015081
\U0001921a #0001921a
\U0001591f #0001591f
𫕏 #0002b54f
\U0003fef6 #0003fef6
䧅 #000049c5
溏 #00006e8f
\U0003d203 #0003d203
𢸺 #00022e3a
앇 #0000c547
\U0001bf7a #0001bf7a
\U00038530 #00038530
ꚥ #0000a6a5
𭉫 #0002d26b
\U0003e4f7 #0003e4f7
\U00035a99 #00035a99
\U00033c93 #00033c93
𧆙 #00027199
𦷷 #00026df7
\U00035315 #00035315
𠙣 #00020663
\U0003a90b #0003a90b
\U000152a6 #000152a6
𬅼 #0002c17c
\U00037cf9 #00037cf9
𧼥 #00027f25
\U000386dc #000386dc
쥤 #0000c964
\U00037339 #00037339
ꜣ #0000a723
\U000148df #000148df
𧿍 #00027fcd
𧽥 #00027f65
\U0003a77d #0003a77d
\U0003d1bc #0003d1bc
𬘿 #0002c63f
䋐 #000042d0
𦡃 #00026843
𔖚 #0001459a
\U00015578 #00015578
𩶄 #00029d84
𢰉 #00022c09
憋 #0000618b
\U00031907 #00031907
𦛵 #000266f5
𐙄 #00010644
㣑 #000038d1
𗩝 #00017a5d
𐡇 #00010847
𦙻 #0002667b
茼 #0000833c
\U0001632d #0001632d
𝂐 #0001d090
𩎇 #00029387
𩖣 #000295a3
\ue1e0 #0000e1e0
ế #00001ebf
\U00033e96 #00033e96
🢝 #0001f89d
\U00035117 #00035117
搳 #00006433
𗗭 #000175ed
𒂦 #000120a6
𑫪 #00011aea
⟂ #000027c2
𤇔 #000241d4
𭙓 #0002d653
\U0003c49c #0003c49c
\U0002f436 #0002f436
吻 #0000543b
有 #00006709
\U0003ba1c #0003ba1c
𭉇 #0002d247
鏱 #000093f1
\U00031764 #00031764
\U0003633c #0003633c
𩓓 #000294d3
\U0003b621 #0003b621
\U00033089 #00033089
𥐊 #0002540a
𨧜 #000289dc
\U00039da7 #00039da7
䓻 #000044fb
𒇢 #000121e2
\U0003e060 #0003e060
服 #0000670d
\U0001e476 #0001e476
\U00039438 #00039438
\U00031f72 #00031f72
蓜 #000084dc
邩 #000090a9
\U0003150f #0003150f
⡖ #00002856
\U00031ac6 #00031ac6
\U00038bcf #00038bcf
🤠 #0001f920
\U00032abc #00032abc
ᨴ #00001a34
𗣡 #000178e1
🬛 #0001fb1b
힔 #0000d794
\U0003dffc #0003dffc
\U0003ce05 #0003ce05
\U0001fee7 #0001fee7
𤃈 #000240c8
퉃 #0000d243
\U00037a85 #00037a85
𓄪 #0001312a
