𮬔 #0002eb14
\U0003d98d #0003d98d
𨌆 #00028306
\U00036796 #00036796
\U0001e1ee #0001e1ee
\u087c #0000087c
\U0003f740 #0003f740
\U0002ef65 #0002ef65
\U000196c7 #000196c7
橐 #00006a50
𪟏 #0002a7cf
㰌 #00003c0c
折 #00006298
𩸎 #00029e0e
\U0003e8cb #0003e8cb
梻 #000068bb
靠 #00009760
𪛅 #0002a6c5
𢁂 #00022042
\U0003d3d1 #0003d3d1
鞢 #000097a2
嵤 #00005d64
\uf8d6 #0000f8d6
颜 #0000989c
𬥯 #0002c96f
\U0001945e #0001945e
\U00011aad #00011aad
삄 #0000c084
ᙓ #00001653
𣝆 #00023746
🕜 #0001f55c
倧 #00005027
ꍾ #0000a37e
𦻹 #00026ef9
𤙰 #00024670
𘞘 #00018798
\U00011abd #00011abd
𗜯 #0001772f
\U00011e6b #00011e6b
𥇼 #000251fc
琍 #0000740d
𑨝 #00011a1d
𡥺 #0002197a
탤 #0000d0e4
惃 #000060c3
\U00031e45 #00031e45
㼱 #00003f31
煻 #0000717b
蘓 #00008613
洘 #00006d18
\U00018fc9 #00018fc9
\U00013693 #00013693
㳋 #00003ccb
\U0003e984 #0003e984
\U0002ecc9 #0002ecc9
\U0003a7c1 #0003a7c1
𧵏 #00027d4f
간 #0000ac04
\U0003af59 #0003af59
\U0001a39b #0001a39b
\U0003dfb9 #0003dfb9
\U0002ec53 #0002ec53
𩠪 #0002982a
𠺖 #00020e96
\U00019e1e #00019e1e
𝧶 #0001d9f6
\U0001ca48 #0001ca48
阎 #0000960e
\U000392a7 #000392a7
\U0003cb6b #0003cb6b
\U00011b47 #00011b47
𘡮 #0001886e
病 #000075c5
\U00016d42 #00016d42
\U0003f761 #0003f761
䳳 #00004cf3
\U000336b4 #000336b4
乐 #00004e50
滭 #00006eed
𘮘 #00018b98
\U00033fc4 #00033fc4
𢐕 #00022415
\U000346bb #000346bb
\U00016151 #00016151
𗥘 #00017958
\U0003b098 #0003b098
鷻 #00009dfb
𠞄 #00020784
𨾥 #00028fa5
♨ #00002668
\U0001b519 #0001b519
\U0003b9ba #0003b9ba
䎇 #00004387
𪇍 #0002a1cd
𮙅 #0002e645
\U00014fc7 #00014fc7
𣬕 #00023b15
\U0001a87f #0001a87f
닰 #0000b2f0
\U00014ee5 #00014ee5
🧑 #0001f9d1
瓼 #000074fc
䊫 #000042ab
🌠 #0001f320
𑩥 #00011a65
\U00019206 #00019206
\U0003692d #0003692d
\U0002fb6b #0002fb6b
\U0001bea3 #0001bea3
\U00014806 #00014806
𥽰 #00025f70
\uef0e #0000ef0e
\U0003ee92 #0003ee92
⏢ #000023e2
餜 #0000991c
𪻝 #0002aedd
訁 #00008a01
𰳝 #00030cdd
𩄴 #00029134
𐝅 #00010745
\U00013f74 #00013f74
\U00010256 #00010256
㽌 #00003f4c
𠨄 #00020a04
a #00000061
\ueb22 #0000eb22
漗 #00006f17
𮧺 #0002e9fa
\U00019caa #00019caa
𩤥 #00029925
𤚏 #0002468f
꾨 #0000afa8
غ #0000063a
\U0001d3b0 #0001d3b0
𱇬 #000311ec
𦃊 #000260ca
𘖗 #00018597
𣐟 #0002341f
붣 #0000bda3
𒐵 #00012435
𨷺 #00028dfa
ꎴ #0000a3b4
惺 #000060fa
𩝌 #0002974c
\U00019d87 #00019d87
㞀 #00003780
縭 #00007e2d
\U0003c876 #0003c876
쏬 #0000c3ec
𐩢 #00010a62
繣 #00007e63
𣉁 #00023241
\U0001b626 #0001b626
\U00011d5e #00011d5e
앬 #0000c56c
\U00033d9a #00033d9a
\U00015dd5 #00015dd5
\U00035bfd #00035bfd
㦐 #00003990
府 #00005e9c
\U000136e2 #000136e2
𣉯 #0002326f
\U0001b93d #0001b93d
\U0001c548 #0001c548
𗰷 #00017c37
＃ #0000ff03
术 #0000672f
\uf6c5 #0000f6c5
\U00032f92 #00032f92
\U0003a437 #0003a437
案 #00006848
𘀐 #00018010
𨒤 #000284a4
\U00015593 #00015593
𨋞 #000282de
𰅠 #00030160
🐹 #0001f439
\U00015687 #00015687
𤬵 #00024b35
𢞋 #0002278b
\U0003f348 #0003f348
𡠳 #00021833
縼 #00007e3c
𖬝 #00016b1d
\u1ad5 #00001ad5
ꦙ #0000a999
𰧴 #000309f4
舁 #0002f893
𘱫 #00018c6b
𣓗 #000234d7
𛀮 #0001b02e
\U0003cfc1 #0003cfc1
饕 #00009955
샛 #0000c0db
\U0003ff23 #0003ff23
䶥 #00004da5
𢈕 #00022215
ꮗ #0000ab97
𫭧 #0002bb67
㿀 #00003fc0
\U00019b80 #00019b80
㢘 #00003898
것 #0000ac83
𠴂 #00020d02
𢽯 #00022f6f
\U0003abd9 #0003abd9
\U000336df #000336df
ᓾ #000014fe
\U0003e27c #0003e27c
𢬒 #00022b12
超 #00008d85
该 #00008be5
\U0001fe82 #0001fe82
\U0001a956 #0001a956
𐫢 #00010ae2
\U0001cdc6 #0001cdc6
历 #00005386
\U0001c7f2 #0001c7f2
𭷸 #0002ddf8
𛱣 #0001bc63
\U00019573 #00019573
嗡 #000055e1
\U0003cf47 #0003cf47
𠊴 #000202b4
\U00011546 #00011546
숎 #0000c20e
𡌾 #0002133e
\U0002edd8 #0002edd8
\U0001a970 #0001a970
希 #00005e0c
ഄ #00000d04
\U0001986a #0001986a
𣵅 #00023d45
\U00033228 #00033228
⊛ #0000229b
\U0002fc47 #0002fc47
𥂁 #00025081
\U0001b3f6 #0001b3f6
𝆌 #0001d18c
\U0003b1b2 #0003b1b2
셩 #0000c169
🐄 #0001f404
뺡 #0000bea1
𢟩 #000227e9
\U0003f42e #0003f42e
\U0001c277 #0001c277
Ờ #00001edc
⤱ #00002931
챆 #0000cc46
𥫾 #00025afe
\U0001bf42 #0001bf42
\U0003e697 #0003e697
\U000343dd #000343dd
𥢥 #000258a5
\U0003cb11 #0003cb11
\U0001c934 #0001c934
\U00015359 #00015359
얾 #0000c5be
뚪 #0000b6aa
\U0001e437 #0001e437
𭄮 #0002d12e
\U00013f32 #00013f32
燳 #000071f3
𨌝 #0002831d
\U0001c8c0 #0001c8c0
\U0003756c #0003756c
\U00019a72 #00019a72
\U00038900 #00038900
\U0003df8a #0003df8a
\U000146cc #000146cc
𫦤 #0002b9a4
\U00039b90 #00039b90
\U0003f59c #0003f59c
\U00032d5c #00032d5c
\U0003c578 #0003c578
𦂵 #000260b5
嫒 #00005ad2
𱂕 #00031095
\U0003c92e #0003c92e
𦐑 #00026411
\U00035790 #00035790
\U0002fdc8 #0002fdc8
𫈕 #0002b215
\U00015560 #00015560
쐓 #0000c413
鮶 #00009bb6
\U0001cc3c #0001cc3c
𤞎 #0002478e
\U000377e8 #000377e8
\U0003c21d #0003c21d
П #0000041f
黑 #00009ed1
\U0001393c #0001393c
க #00000b95
𬿚 #0002cfda
𘞯 #000187af
𑓓 #000114d3
𰨑 #00030a11
\U0001e8df #0001e8df
\U0003bd4c #0003bd4c
教 #00006559
ǻ #000001fb
\U00031c4f #00031c4f
\U00032843 #00032843
𰐜 #0003041c
\U00013729 #00013729
\U00031ac9 #00031ac9
𬊑 #0002c291
뛹 #0000b6f9
𫁆 #0002b046
\U0002eff8 #0002eff8
\U00039366 #00039366
\U00014f1a #00014f1a
囫 #000056eb
㇌ #000031cc
𧃖 #000270d6
⬝ #00002b1d
뙓 #0000b653
\U0002f667 #0002f667
\U0003615d #0003615d
\U0001e5e6 #0001e5e6
\U00012fdf #00012fdf
\U0002f3ae #0002f3ae
𭲞 #0002dc9e
𤹫 #00024e6b
𖢐 #00016890
𑱕 #00011c55
祻 #0000797b
퐟 #0000d41f
𑚸 #000116b8
\U0001e6e6 #0001e6e6
𫨠 #0002ba20
\U0001dcc1 #0001dcc1
𣽠 #00023f60
𧣈 #000278c8
🖃 #0001f583
\U0003f576 #0003f576
𝥦 #0001d966
𫩒 #0002ba52
뉼 #0000b27c
慖 #00006156
\U0003db73 #0003db73
\U00039557 #00039557
𡕬 #0002156c
𘜪 #0001872a
\U0003e072 #0003e072
\U0002eca8 #0002eca8
\U0002ee28 #0002ee28
䯝 #00004bdd
𨐍 #0002840d
\ua7f0 #0000a7f0
𨨋 #00028a0b
仪 #00004eea
ﶢ #0000fda2
껒 #0000aed2
\U000197b0 #000197b0
\U00013538 #00013538
𥯄 #00025bc4
峒 #00005cd2
𫇋 #0002b1cb
ﵐ #0000fd50
何 #00004f55
𘉓 #00018253
𧪻 #00027abb
ᄮ #0000112e
𝇒 #0001d1d2
𢮋 #00022b8b
\U00039e25 #00039e25
\U00038a10 #00038a10
\U0003e80b #0003e80b
낚 #0000b09a
㰰 #00003c30
\U00031a6b #00031a6b
𭭧 #0002db67
\U000377c8 #000377c8
\ue2f4 #0000e2f4
𔑣 #00014463
\U00031f2f #00031f2f
𨁟 #0002805f
\U0001acd3 #0001acd3
\U00015311 #00015311
ữ #00001eef
𥙐 #00025650
짆 #0000c9c6
𬙲 #0002c672
𤄼 #0002413c
𩿫 #00029feb
\U0001edf1 #0001edf1
𬽹 #0002cf79
𢱦 #00022c66
𭸳 #0002de33
휥 #0000d725
\U000351d9 #000351d9
𗒿 #000174bf
\U0003efd2 #0003efd2
汘 #00006c58
\U0003f587 #0003f587
𫜡 #0002b721
\U0003beae #0003beae
\U0003ef97 #0003ef97
𦝟 #0002675f
⚭ #000026ad
첿 #0000ccbf
𤰄 #00024c04
𑩨 #00011a68
\U0003e0d8 #0003e0d8
𛁭 #0001b06d
𨍾 #0002837e
\ue9e6 #0000e9e6
\U0003f44c #0003f44c
庁 #00005e81
𦷅 #00026dc5
\U000112ab #000112ab
𑤜 #0001191c
\U0003be5a #0003be5a
\U0003aabd #0003aabd
\U00031c6f #00031c6f
\U00037d75 #00037d75
𡂾 #000210be
綮 #00007dae
𪦋 #0002a98b
货 #00008d27
㺚 #00003e9a
蕐 #00008550
匹 #00005339
化 #00005316
\U000128c7 #000128c7
𬊾 #0002c2be
\U0003cf69 #0003cf69
\u2d6e #00002d6e
𠕯 #0002056f
𭭕 #0002db55
\U000330b3 #000330b3
𢮭 #00022bad
Đ #00000110
\U0001b4d9 #0001b4d9
𬗓 #0002c5d3
\uf0b1 #0000f0b1
\U0002f2af #0002f2af
\U0003b8d5 #0003b8d5
➿ #000027bf
\U00036184 #00036184
𩔐 #00029510
🈲 #0001f232
\U00035a29 #00035a29
\U0001b377 #0001b377
蠝 #0000881d
𢠯 #0002282f
𬮃 #0002cb83
쉺 #0000c27a
ꦪ #0000a9aa
錘 #00009318
𨪩 #00028aa9
९ #0000096f
𤴾 #00024d3e
𗨾 #00017a3e
\U0001cc00 #0001cc00
\U00012eb9 #00012eb9
\U0001bfe2 #0001bfe2
괆 #0000ad06
规 #000089c4
駋 #000099cb
\U00032205 #00032205
ु #00000941
䉘 #00004258
镚 #0000955a
\U00031a03 #00031a03
𤤢 #00024922
\U000338e1 #000338e1
\u0e7b #00000e7b
𨿢 #00028fe2
狆 #000072c6
肏 #0000808f
瀗 #00007017
\U0001a8b9 #0001a8b9
𬇹 #0002c1f9
\U00034bc9 #00034bc9
듅 #0000b4c5
\U0001a8ab #0001a8ab
𬲩 #0002cca9
\U0001d2b1 #0001d2b1
\U0002f6a1 #0002f6a1
𩼂 #00029f02
\U00016146 #00016146
\U00037b18 #00037b18
\U000372ad #000372ad
\U00035376 #00035376
\U0003ed78 #0003ed78
𨏍 #000283cd
걢 #0000ac62
𘆰 #000181b0
𑩒 #00011a52
𰂫 #000300ab
\U000338d9 #000338d9
\U0003e6d6 #0003e6d6
뼃 #0000bf03
\U000343dc #000343dc
墺 #000058ba
棈 #000068c8
\U00011397 #00011397
\U0003fca4 #0003fca4
\U00018e61 #00018e61
𐬴 #00010b34
\U000117b8 #000117b8
\U0003b6f2 #0003b6f2
\U00035a2d #00035a2d
𝌭 #0001d32d
嘖 #00005616
\ue75e #0000e75e
\U00015dd9 #00015dd9
组 #00007ec4
\U00038078 #00038078
\U0003c086 #0003c086
꒔ #0000a494
梤 #000068a4
T #00000054
𑰗 #00011c17
\U0001e294 #0001e294
\U000384bb #000384bb
滑 #00006ed1
\U0001a07f #0001a07f
\U0001dccb #0001dccb
푮 #0000d46e
렞 #0000b81e
\U00034ed8 #00034ed8
\U00014018 #00014018
\U0001bf71 #0001bf71
\U00012eb4 #00012eb4
࠙ #00000819
𮐼 #0002e43c
\U0003e1bf #0003e1bf
𣺕 #00023e95
\U0003ebee #0003ebee
茯 #0000832f
𱀃 #00031003
𰒵 #000304b5
𘒖 #00018496
𧾾 #00027fbe
𨌃 #00028303
𫛝 #0002b6dd
𬯓 #0002cbd3
𣇚 #000231da
\U0003d9df #0003d9df
\U000350ea #000350ea
𥤲 #00025932
𐺱 #00010eb1
𤀼 #0002403c
\U0003ccbb #0003ccbb
滨 #00006ee8
墬 #000058ac
𢌬 #0002232c
\U00033024 #00033024
🙭 #0001f66d
\U00032670 #00032670
\U0003d15e #0003d15e
𫢐 #0002b890
\U00033c53 #00033c53
\U0001c7a9 #0001c7a9
\U000361fd #000361fd
𫓦 #0002b4e6
㟚 #000037da
𨗦 #000285e6
埭 #000057ed
鴜 #00009d1c
с #00000441
\uec53 #0000ec53
𐨦 #00010a26
观 #000089c2
\U000330da #000330da
𩭐 #00029b50
\U000125a3 #000125a3
𰚽 #000306bd
🤖 #0001f916
\U00031503 #00031503
垈 #00005788
𭱞 #0002dc5e
\U00010962 #00010962
\U0003b0d5 #0003b0d5
𤁥 #00024065
𠡸 #00020878
𥌵 #00025335
𨪽 #00028abd
𰏌 #000303cc
𦫭 #00026aed
\U00035873 #00035873
𬐡 #0002c421
\U0001c6f2 #0001c6f2
𧕒 #00027552
𫸹 #0002be39
🙜 #0001f65c
𝆴 #0001d1b4
\U00019b71 #00019b71
𢼓 #00022f13
岸 #00005cb8
侊 #00004f8a
\U0003a5de #0003a5de
𣆺 #000231ba
㌫ #0000332b
쳊 #0000ccca
\U00031435 #00031435
\U00015d4b #00015d4b
𮑡 #0002e461
\U0001b3ef #0001b3ef
𮅱 #0002e171
依 #00004f9d
奇 #00005947
𘉰 #00018270
䱩 #00004c69
𥉸 #00025278
𦺃 #00026e83
\U00033801 #00033801
\U00012be9 #00012be9
𮩘 #0002ea58
\U0001cf10 #0001cf10
𓃴 #000130f4
\U0003cbf6 #0003cbf6
🇸 #0001f1f8
𣧟 #000239df
𪲳 #0002acb3
㐕 #00003415
ꅃ #0000a143
\U0001aaf8 #0001aaf8
\U0003d302 #0003d302
\ufb10 #0000fb10
𡛔 #000216d4
𧔘 #00027518
𡢼 #000218bc
豏 #00008c4f
\U000190d0 #000190d0
\U00035a65 #00035a65
\ue44b #0000e44b
㑧 #00003467
𗭐 #00017b50
𔑥 #00014465
困 #000056f0
ᖥ #000015a5
췷 #0000cdf7
\U000387f8 #000387f8
🏱 #0001f3f1
\U00013c6a #00013c6a
\U0002f698 #0002f698
\U00033e65 #00033e65
徲 #00005fb2
𢛖 #000226d6
䏵 #000043f5
\U0003f4c5 #0003f4c5
2 #00000032
\U00013f66 #00013f66
᳨ #00001ce8
𘲖 #00018c96
𩞀 #00029780
\U0003d15b #0003d15b
𤦕 #00024995
\u2e9a #00002e9a
捊 #0000634a
\U00032d1d #00032d1d
\U00034b64 #00034b64
𩃀 #000290c0
\U0003a4a6 #0003a4a6
绝 #00007edd
\U00035dd7 #00035dd7
𦙭 #0002666d
𱆑 #00031191
傎 #0000508e
\U00019d82 #00019d82
\U0001ac57 #0001ac57
𪠩 #0002a829
📱 #0001f4f1
宭 #00005bad
✣ #00002723
脯 #0000812f
߉ #000007c9
\U0001b6d9 #0001b6d9
𗟖 #000177d6
㠃 #00003803
𘢥 #000188a5
\U0001cb4e #0001cb4e
貦 #00008ca6
㢨 #000038a8
\U00033b1c #00033b1c
\U00039c45 #00039c45
\U0003e753 #0003e753
𪶩 #0002ada9
𮨣 #0002ea23
ᘲ #00001632
𭷤 #0002dde4
𣔴 #00023534
\U000384ff #000384ff
萵 #00008435
\U0003f4c0 #0003f4c0
觤 #000089e4
\U0003144a #0003144a
𠜀 #00020700
\U000393ca #000393ca
ʕ #00000295
ꃟ #0000a0df
\U000325c4 #000325c4
\U00013f6b #00013f6b
弨 #00005f28
\U0001ecc2 #0001ecc2
\U00035067 #00035067
\U0001c368 #0001c368
퓡 #0000d4e1
\U0003562b #0003562b
ꪢ #0000aaa2
\U00032c69 #00032c69
𩾸 #00029fb8
\U0003c0dc #0003c0dc
铺 #000094fa
𭢗 #0002d897
鉟 #0000925f
𪶎 #0002ad8e
倦 #00005026
𐡬 #0001086c
𣴳 #00023d33
廆 #00005ec6
𦧲 #000269f2
\U0001bfd2 #0001bfd2
抗 #00006297
ᬚ #00001b1a
\U00014b2b #00014b2b
\U0001a218 #0001a218
胃 #000080c3
\U00032023 #00032023
棉 #000068c9
\U0001c928 #0001c928
\U00038580 #00038580
𠭭 #00020b6d
\U0001432b #0001432b
𒊕 #00012295
𫐪 #0002b42a
붾 #0000bdbe
\U000165f0 #000165f0
㮴 #00003bb4
𬚀 #0002c680
퐣 #0000d423
\U0003b113 #0003b113
\U00038ffa #00038ffa
㉷ #00003277
\U0001ad6a #0001ad6a
𗮅 #00017b85
\U00037724 #00037724
ɲ #00000272
\U0001a298 #0001a298
챂 #0000cc42
\U00010f72 #00010f72
\U000116fa #000116fa
𮬬 #0002eb2c
\U0003aa22 #0003aa22
꼬 #0000af2c
\U0003609c #0003609c
\ue097 #0000e097
ꯧ #0000abe7
\U000351a6 #000351a6
\U00032290 #00032290
\U000134cc #000134cc
𑘘 #00011618
\U0003799d #0003799d
\U0003dd3c #0003dd3c
\U0003210d #0003210d
\U0003ed86 #0003ed86
韡 #000097e1
𨂟 #0002809f
\U00035e10 #00035e10
ấ #00001ea5
\U00015640 #00015640
솯 #0000c1af
퐰 #0000d430
㬨 #00003b28
婯 #00005a6f
𞺬 #0001eeac
𗕇 #00017547
\U000391c1 #000391c1
騎 #00009a0e
ૣ #00000ae3
\U000398bb #000398bb
\U0003485d #0003485d
𨧓 #000289d3
𧌂 #00027302
𬳧 #0002cce7
㰔 #00003c14
𡵯 #00021d6f
权 #00006743
𩉂 #00029242
邮 #000090ae
𨌁 #00028301
\U0003a666 #0003a666
𪸹 #0002ae39
𫬺 #0002bb3a
\U0003294c #0003294c
\U00034ecf #00034ecf
𢊻 #000222bb
优 #00004f18
𬷠 #0002cde0
\U0003c3a7 #0003c3a7
\U00013a60 #00013a60
𬅤 #0002c164
𐠨 #00010828
\U0003fb1f #0003fb1f
𘢸 #000188b8
𒈇 #00012207
𘲨 #00018ca8
\U0003878b #0003878b
𨝲 #00028772
⺁ #00002e81
\U00039895 #00039895
𛆬 #0001b1ac
𰋟 #000302df
\U0002fc66 #0002fc66
\U000378b7 #000378b7
ᕥ #00001565
𠡿 #0002087f
\U00039e81 #00039e81
\U00015cbd #00015cbd
𤕾 #0002457e
\U00031a20 #00031a20
\U0003452e #0003452e
걍 #0000ac4d
𬖢 #0002c5a2
\U00038f1e #00038f1e
𪀄 #0002a004
昻 #0000663b
\U0003a7ef #0003a7ef
͵ #00000375
动 #000052a8
\U0001bcc9 #0001bcc9
䇏 #000041cf
限 #00009650
\U00035d67 #00035d67
\U000391e0 #000391e0
⋍ #000022cd
\U00036929 #00036929
𪃢 #0002a0e2
𤆽 #000241bd
\U0001edd8 #0001edd8
熖 #00007196
\U0001543b #0001543b
문 #0000bb38
\U0001aa4f #0001aa4f
\U000127e4 #000127e4
\U0001585d #0001585d
嶾 #00005dbe
𢳢 #00022ce2
\U0003740a #0003740a
撮 #000064ae
㜦 #00003726
\U0001ff36 #0001ff36
\U0002ec8c #0002ec8c
쇮 #0000c1ee
𑚂 #00011682
𔓠 #000144e0
𡦲 #000219b2
ꡬ #0000a86c
\U00038cc1 #00038cc1
𩸛 #00029e1b
\U00013e5e #00013e5e
䐴 #00004434
硯 #0000786f
\U000375cc #000375cc
\U0001b142 #0001b142
留 #00007559
\U0001a23f #0001a23f
𤘹 #00024639
\U000149d1 #000149d1
𝝁 #0001d741
ퟒ #0000d7d2
\U0003a63b #0003a63b
䠄 #00004804
𤗖 #000245d6
\U0002fd77 #0002fd77
\U00038a6d #00038a6d
쌄 #0000c304
𘚽 #000186bd
㟺 #000037fa
₿ #000020bf
𤖮 #000245ae
圓 #00005713
𑑛 #0001145b
𰋰 #000302f0
𠩈 #00020a48
𮨧 #0002ea27
\U00016262 #00016262
\U0001e9a4 #0001e9a4
𠼹 #00020f39
畏 #0000754f
𤲘 #00024c98
\U000313ac #000313ac
𩒗 #00029497
缩 #00007f29
\U0003f1b4 #0003f1b4
𫨋 #0002ba0b
南 #00005357
𫲐 #0002bc90
𐑛 #0001045b
꯷ #0000abf7
\U0003c748 #0003c748
\U00032714 #00032714
\U00035e9e #00035e9e
𥲸 #00025cb8
༃ #00000f03
氧 #00006c27
\uf595 #0000f595
𧸐 #00027e10
𒎁 #00012381
\U0001eee4 #0001eee4
弲 #00005f32
𮉈 #0002e248
𱌆 #00031306
𐜵 #00010735
\ue37b #0000e37b
𰒣 #000304a3
𤄵 #00024135
𬸐 #0002ce10
𘅮 #0001816e
\U00013b46 #00013b46
𗠄 #00017804
\U0001b99a #0001b99a
景 #0000666f
큄 #0000d044
\U0001fce0 #0001fce0
짉 #0000c9c9
𗥡 #00017961
𬾨 #0002cfa8
𘳇 #00018cc7
㴝 #00003d1d
㍵ #00003375
𑚤 #000116a4
𞸚 #0001ee1a
\U00018d55 #00018d55
🌥 #0001f325
𪰛 #0002ac1b
\U0003f13b #0003f13b
\U00038480 #00038480
\U000313d6 #000313d6
嘜 #0000561c
𣖓 #00023593
譙 #00008b59
\U0003f3dc #0003f3dc
\U0003a864 #0003a864
\ue538 #0000e538
㮩 #00003ba9
蘤 #00008624
\U0001c30f #0001c30f
\U000161a5 #000161a5
\U0003304b #0003304b
体 #00004f53
𰠥 #00030825
᮵ #00001bb5
\U0001bad1 #0001bad1
\U00038153 #00038153
\U0001401c #0001401c
ঞ #0000099e
\U00011efb #00011efb
\U0003ea05 #0003ea05
釕 #000091d5
\uec0c #0000ec0c
𨄲 #00028132
𰻷 #00030ef7
𠤌 #0002090c
\U00031389 #00031389
脸 #00008138
\U00011bfb #00011bfb
ᓺ #000014fa
𣢜 #0002389c
𐐾 #0001043e
𥚸 #000256b8
묵 #0000bb35
\U00010e18 #00010e18
f #00000066
\U000337b0 #000337b0
ˆ #000002c6
\U0001bd3c #0001bd3c
𣒈 #00023488
岥 #00005ca5
\U0001ad79 #0001ad79
𡫏 #00021acf
𮬉 #0002eb09
\U0003e939 #0003e939
𑓗 #000114d7
𧥴 #00027974
莱 #000083b1
\uef70 #0000ef70
\U00034fee #00034fee
䩭 #00004a6d
𩸵 #00029e35
ﴍ #0000fd0d
𭶴 #0002ddb4
𰾆 #00030f86
\U0003979c #0003979c
\U0003ce26 #0003ce26
ỡ #00001ee1
귗 #0000add7
\U0002f368 #0002f368
\U0003b8ea #0003b8ea
𡭨 #00021b68
ꦔ #0000a994
츱 #0000ce31
𣰞 #00023c1e
㣭 #000038ed
\U0003738f #0003738f
췧 #0000cde7
\U0003c2b2 #0003c2b2
𬦨 #0002c9a8
\U00031e0b #00031e0b
\U00037e3e #00037e3e
𤇦 #000241e6
\U000332c4 #000332c4
\U000324dc #000324dc
𪖯 #0002a5af
ꊝ #0000a29d
\U0003a20b #0003a20b
ろ #0000308d
㝼 #0000377c
ل #00000644
𗴟 #00017d1f
\U00014cb3 #00014cb3
鶒 #00009d92
\U0003be99 #0003be99
𐘣 #00010623
縰 #00007e30
𡷜 #00021ddc
텴 #0000d174
\U000399dd #000399dd
\u0ee5 #00000ee5
𫝣 #0002b763
𥮦 #00025ba6
\U0003de08 #0003de08
𣼼 #00023f3c
\U00031463 #00031463
\U0003b343 #0003b343
\U00037f2a #00037f2a
𨼖 #00028f16
\U000116be #000116be
\U00034be7 #00034be7
\U00033082 #00033082
뾈 #0000bf88
𡨉 #00021a09
制 #00005236
𦰨 #00026c28
𨐂 #00028402
𥅞 #0002515e
\U000340d3 #000340d3
\U00012a9d #00012a9d
\U00038c1d #00038c1d
Ɐ #00002c6f
\U0002f4bb #0002f4bb
𝝱 #0001d771
𨒵 #000284b5
𑪝 #00011a9d
\U00039916 #00039916
쀤 #0000c024
𬯛 #0002cbdb
𬱮 #0002cc6e
\U0001fca2 #0001fca2
\U0001b3a7 #0001b3a7
\U00010d48 #00010d48
\U0003f702 #0003f702
\uef40 #0000ef40
\U0001c88c #0001c88c
\U0003996e #0003996e
\U00035f74 #00035f74
𑴫 #00011d2b
\U0003309d #0003309d
\U00014d44 #00014d44
𧰺 #00027c3a
\U00019d5a #00019d5a
郑 #000090d1
终 #00007ec8
\U00032cae #00032cae
厴 #000053b4
\U0003acc8 #0003acc8
𠗾 #000205fe
ਲ਼ #00000a33
\U00012e18 #00012e18
\U0003146b #0003146b
ᇕ #000011d5
\U0003d146 #0003d146
꒤ #0000a4a4
\U0003ba20 #0003ba20
𣔚 #0002351a
\U0003dde3 #0003dde3
氏 #00006c0f
𣜑 #00023711
\U00014c8c #00014c8c
𧒮 #000274ae
\U0001a534 #0001a534
⠔ #00002814
頂 #00009802
\U0001caf4 #0001caf4
\U00033aee #00033aee
𝄞 #0001d11e
垅 #00005785
𩺬 #00029eac
\U0003c583 #0003c583
\U0003fefe #0003fefe
𗈡 #00017221
◤ #000025e4
𠤡 #00020921
𩴅 #00029d05
\U00037bd8 #00037bd8
싛 #0000c2db
鲚 #00009c9a
\U0003e8db #0003e8db
労 #000052b4
𪐗 #0002a417
\U000197b1 #000197b1
Ꜿ #0000a73e
ﻲ #0000fef2
鏢 #000093e2
𗿱 #00017ff1
𧄩 #00027129
𰬺 #00030b3a
𠐺 #0002043a
𡳞 #00021cde
\U0003e4f7 #0003e4f7
\U0001dc1f #0001dc1f
\U0001c9f2 #0001c9f2
𧭭 #00027b6d
\ued00 #0000ed00
\U0001b577 #0001b577
𮤹 #0002e939
𝀭 #0001d02d
\U00037cf9 #00037cf9
\U0003a120 #0003a120
\U00016ee7 #00016ee7
\U00013be7 #00013be7
\U0003a460 #0003a460
\U00037f35 #00037f35
\U0002f626 #0002f626
\U00013e62 #00013e62
켄 #0000cf04
\U000327f2 #000327f2
\U0003d1bc #0003d1bc
𭅈 #0002d148
𗟐 #000177d0
𦡃 #00026843
\uea63 #0000ea63
\U0003c2cb #0003c2cb
\U0001e19e #0001e19e
⌽ #0000233d
\U00034438 #00034438
𱋩 #000312e9
⺉ #00002e89
\U0003d376 #0003d376
\U0001c1ad #0001c1ad
𨄓 #00028113
𗩝 #00017a5d
⽓ #00002f53
\uea82 #0000ea82
\U0003aac9 #0003aac9
茼 #0000833c
\U00032a73 #00032a73
\U0003cc21 #0003cc21
\U0001ea31 #0001ea31
\U00033cb3 #00033cb3
𓊰 #000132b0
\U00011939 #00011939
\U00016c90 #00016c90
\U0003550e #0003550e
𢟎 #000227ce
𖣇 #000168c7
ế #00001ebf
🢝 #0001f89d
\U00035117 #00035117
⭞ #00002b5e
퇶 #0000d1f6
\U0003868d #0003868d
𬦑 #0002c991
𬅙 #0002c159
𡯦 #00021be6
吻 #0000543b
有 #00006709
鏱 #000093f1
Ҭ #000004ac
𪀐 #0002a010
𠣢 #000208e2
𧣦 #000278e6
\U0003633c #0003633c
\uf132 #0000f132
\U00012f9f #00012f9f
\U00033089 #00033089
𫘿 #0002b63f
𥐊 #0002540a
𘘀 #00018600
\U0003b6f9 #0003b6f9
펃 #0000d383
\U00016a99 #00016a99
\U00031ccc #00031ccc
𭸡 #0002de21
\U0003615b #0003615b
服 #0000670d
诛 #00008bdb
\U0001e476 #0001e476
𤗤 #000245e4
𬁟 #0002c05f
\U0001b357 #0001b357
