捬 #0000636c
𢓕 #000224d5
𔑧 #00014467
\U00019fbb #00019fbb
𥤰 #00025930
\U0001bf18 #0001bf18
\U00031eb6 #00031eb6
鞦 #000097a6
\U0001e24b #0001e24b
\U0003b7bf #0003b7bf
\U00036422 #00036422
𩱣 #00029c63
\U00032fac #00032fac
\U0003acaa #0003acaa
𭆯 #0002d1af
流 #00006d41
𑒩 #000114a9
脉 #00008109
\U0003b284 #0003b284
\U0003c67d #0003c67d
𩉦 #00029266
\U0003abb5 #0003abb5
𦹟 #00026e5f
藦 #000085e6
\U00036fbe #00036fbe
\U0001e5bd #0001e5bd
硦 #00007866
\U0001b94f #0001b94f
𗎳 #000173b3
\ueaeb #0000eaeb
𑁍 #0001104d
됤 #0000b424
\U0003638b #0003638b
\U00031b16 #00031b16
\U0001aab4 #0001aab4
흺 #0000d77a
袪 #000088aa
\U0002f007 #0002f007
己 #00005df1
\U000138ff #000138ff
灊 #0002f917
𥂾 #000250be
\U0001deea #0001deea
𢆧 #000221a7
\u0cc5 #00000cc5
\U000157f5 #000157f5
\U0002f22b #0002f22b
\U0001ef65 #0001ef65
⨖ #00002a16
田 #00007530
𡔜 #0002151c
𠡣 #00020863
\U0001cd70 #0001cd70
㹸 #00003e78
魹 #00009b79
𘏆 #000183c6
Ј #00000408
\U00031877 #00031877
\U0003a509 #0003a509
\U00014ae8 #00014ae8
\U0003fdf5 #0003fdf5
\U00015a40 #00015a40
𪈥 #0002a225
𧅂 #00027142
𢎮 #000223ae
㰚 #00003c1a
红 #00007ea2
𡮔 #00021b94
\U00039b66 #00039b66
\U0001ee28 #0001ee28
\U0003f8d2 #0003f8d2
\U0003689a #0003689a
č #0000010d
𨪄 #00028a84
䭓 #00004b53
\U0001cc32 #0001cc32
ﻴ #0000fef4
\U0003a7a8 #0003a7a8
룁 #0000b8c1
뵍 #0000bd4d
𩅪 #0002916a
\U00032cbf #00032cbf
𰟶 #000307f6
\U00036a69 #00036a69
\U00037475 #00037475
\U00010d77 #00010d77
崻 #00005d3b
\U00035a69 #00035a69
𨣈 #000288c8
騪 #00009a2a
\U0003c9bc #0003c9bc
铮 #000094ee
꒟ #0000a49f
\U0003ba36 #0003ba36
㞌 #0000378c
𭴓 #0002dd13
晉 #00006649
濾 #00006ffe
𦢠 #000268a0
駪 #000099ea
𠹿 #00020e7f
年 #0000f98e
淾 #00006dfe
ሷ #00001237
\U0001c57d #0001c57d
\U00015979 #00015979
𗰁 #00017c01
𓅥 #00013165
盋 #000076cb
\U0003d489 #0003d489
\U00014103 #00014103
\U00010b38 #00010b38
隩 #000096a9
ᅠ #00001160
𫖁 #0002b581
𤊁 #00024281
ꔆ #0000a506
\U000123b5 #000123b5
𘎼 #000183bc
𠭼 #00020b7c
惽 #000060fd
𧓜 #000274dc
🬳 #0001fb33
𘤛 #0001891b
𑇎 #000111ce
\U00019c07 #00019c07
\U00019ab1 #00019ab1
𬰨 #0002cc28
\U000385d2 #000385d2
\U0003f313 #0003f313
\U00019a0e #00019a0e
\U0001e33a #0001e33a
尺 #00005c3a
\u139e #0000139e
\U00034f21 #00034f21
𨐲 #00028432
\U0003ce18 #0003ce18
▶ #000025b6
𨠴 #00028834
⑺ #0000247a
𡵮 #00021d6e
𢃎 #000220ce
𤞋 #0002478b
\U0003daf4 #0003daf4
\U0001cd7a #0001cd7a
\U00036e05 #00036e05
\uf6e0 #0000f6e0
拍 #000062cd
덷 #0000b377
𪵽 #0002ad7d
\U0001d3c2 #0001d3c2
₰ #000020b0
Ṗ #00001e56
\U000386ca #000386ca
\U0001c78e #0001c78e
调 #00008c03
𑢲 #000118b2
𩌦 #00029326
\U0003b537 #0003b537
𠺍 #00020e8d
\U00011ede #00011ede
몚 #0000ba9a
𦥘 #00026958
𡷐 #00021dd0
𩍒 #00029352
\U0001dec8 #0001dec8
𢬍 #00022b0d
𒓲 #000124f2
\u1739 #00001739
痡 #000075e1
⽘ #00002f58
Ῥ #00001fec
鹄 #00009e44
蠭 #0000882d
\U000389fb #000389fb
昹 #00006639
\U0002ff18 #0002ff18
🆞 #0001f19e
𫚃 #0002b683
𫡙 #0002b859
\ue8e4 #0000e8e4
𨟔 #000287d4
𤫽 #00024afd
𱄘 #00031118
\ue70c #0000e70c
\U00033b2f #00033b2f
𫅶 #0002b176
ボ #000030dc
渥 #00006e25
ᠡ #00001821
\U0001921e #0001921e
\U0003521b #0003521b
\U0001ce0c #0001ce0c
\U0001bd61 #0001bd61
𘈒 #00018212
\U0003e5ae #0003e5ae
\U0002f2dc #0002f2dc
𛰋 #0001bc0b
\u0aba #00000aba
\U000191e0 #000191e0
\U00019f3c #00019f3c
\U0001126b #0001126b
㐩 #00003429
𐿠 #00010fe0
\U000125fb #000125fb
\U00035cce #00035cce
𩎯 #000293af
碓 #00007893
𰒰 #000304b0
晓 #00006653
\U0003473b #0003473b
\U00039b0d #00039b0d
\uf638 #0000f638
𗛩 #000176e9
ᐭ #0000142d
𣢻 #000238bb
\U0003ef5f #0003ef5f
뤌 #0000b90c
껱 #0000aef1
𢬁 #00022b01
鯨 #00009be8
\U000351ed #000351ed
\U0003e173 #0003e173
\U00031c7b #00031c7b
𫫏 #0002bacf
骑 #00009a91
\U0001c0f5 #0001c0f5
볆 #0000bcc6
\U0003cb78 #0003cb78
𑴏 #00011d0f
\U000101ac #000101ac
\U0003dd90 #0003dd90
𗾡 #00017fa1
䯶 #00004bf6
\U0003ab4a #0003ab4a
𭶽 #0002ddbd
𫱍 #0002bc4d
\U0001db8a #0001db8a
𫚳 #0002b6b3
\u206a #0000206a
蒵 #000084b5
\U00032c1d #00032c1d
𰟱 #000307f1
𗱀 #00017c40
\U00036824 #00036824
\U0001a244 #0001a244
\U00036ea2 #00036ea2
\U00037664 #00037664
𬢹 #0002c8b9
\U0001557e #0001557e
𘙅 #00018645
𧄫 #0002712b
\U00031a1e #00031a1e
ꢛ #0000a89b
\U0003184f #0003184f
杭 #0000676d
𰼙 #00030f19
\uf434 #0000f434
䤣 #00004923
\U0003fbe0 #0003fbe0
\U000194dd #000194dd
𰇣 #000301e3
\U0003b941 #0003b941
\U0003fd71 #0003fd71
\U0003434a #0003434a
\U0003fef2 #0003fef2
\U000125e9 #000125e9
\U000156ca #000156ca
\U00018e4e #00018e4e
\U000134c9 #000134c9
\U0001eb89 #0001eb89
𭙟 #0002d65f
\U00033621 #00033621
𑲯 #00011caf
巴 #00005df4
\U000345bc #000345bc
𝚓 #0001d693
𠵱 #00020d71
𫶃 #0002bd83
\U0003d9ce #0003d9ce
疗 #00007597
̒ #00000312
\U0003b98c #0003b98c
\U00014f8a #00014f8a
殗 #00006b97
\U000155a8 #000155a8
\U0001e95b #0001e95b
基 #000057fa
𡁼 #0002107c
𤶏 #00024d8f
\U0003c50a #0003c50a
𗵫 #00017d6b
\U0001c7e6 #0001c7e6
𧲵 #00027cb5
𫳷 #0002bcf7
\U0003d863 #0003d863
\ue3eb #0000e3eb
\U00013765 #00013765
퇠 #0000d1e0
𒔽 #0001253d
ꥀ #0000a940
怕 #00006015
\U00014d34 #00014d34
\U0001f0f7 #0001f0f7
鰆 #00009c06
𝤆 #0001d906
𑒪 #000114aa
祶 #00007976
𗜛 #0001771b
𦮵 #00026bb5
🭬 #0001fb6c
据 #0000636e
𐩴 #00010a74
𰢥 #000308a5
\U00039373 #00039373
𥚾 #000256be
Ĕ #00000114
\U00015455 #00015455
ন #000009a8
\U0001a08d #0001a08d
𬛆 #0002c6c6
Ｓ #0000ff33
폈 #0000d3c8
新 #000065b0
衿 #0000887f
𮌍 #0002e30d
\U00032f97 #00032f97
𧋦 #000272e6
𧸃 #00027e03
\U0003e3d9 #0003e3d9
𐮮 #00010bae
ਡ #00000a21
𮊍 #0002e28d
\U00034646 #00034646
𐭎 #00010b4e
\U00014f62 #00014f62
\U0003749f #0003749f
\ue0ac #0000e0ac
𑚛 #0001169b
𠗯 #000205ef
灔 #00007054
\U0003c60b #0003c60b
\U0001a8b6 #0001a8b6
😼 #0001f63c
\U0003ec5a #0003ec5a
\U00015bb1 #00015bb1
\U00034c2f #00034c2f
\U00015e46 #00015e46
莉 #00008389
𩴤 #00029d24
㔐 #00003510
\U000196ba #000196ba
\U0003379c #0003379c
𠺚 #00020e9a
\U0003dc1b #0003dc1b
𦬣 #00026b23
봶 #0000bd36
ߍ #000007cd
\U0001ed7f #0001ed7f
\U0003a1b7 #0003a1b7
𠔫 #0002052b
싼 #0000c2fc
𢕢 #00022562
\U0003509d #0003509d
こ #00003053
얮 #0000c5ae
뻲 #0000bef2
𗕒 #00017552
𩃾 #000290fe
\U00010225 #00010225
瑅 #00007445
\ufb11 #0000fb11
\uebe4 #0000ebe4
䪑 #00004a91
𤾃 #00024f83
𞄄 #0001e104
\U00019314 #00019314
𠩱 #00020a71
𱀺 #0003103a
𣼫 #00023f2b
\U0001189e #0001189e
𗽻 #00017f7b
곒 #0000acd2
𘬚 #00018b1a
⒚ #0000249a
𠬵 #00020b35
\U0003931b #0003931b
𫣷 #0002b8f7
\U00035fe3 #00035fe3
𣮿 #00023bbf
𰯺 #00030bfa
蔓 #00008513
\U0001940e #0001940e
𣭊 #00023b4a
\U0003b24d #0003b24d
𦽤 #00026f64
𦵖 #00026d56
ⳃ #00002cc3
็ #00000e47
硨 #00007868
\U0002a6e9 #0002a6e9
\U0001353b #0001353b
졉 #0000c849
𪙯 #0002a66f
𢹖 #00022e56
\U0001e07e #0001e07e
𗟪 #000177ea
뚞 #0000b69e
來 #00004f86
𡰩 #00021c29
\U0001256f #0001256f
虿 #0000867f
幼 #00005e7c
𢕓 #00022553
\U0001fdb0 #0001fdb0
𪴌 #0002ad0c
\U0001e258 #0001e258
\U00037ecd #00037ecd
≪ #0000226a
\U00013ebb #00013ebb
㢁 #00003881
졂 #0000c842
\U00039dbb #00039dbb
𢻸 #00022ef8
𬑭 #0002c46d
㱳 #00003c73
𐊮 #000102ae
ਫ #00000a2b
\U00015a02 #00015a02
膆 #00008186
\U0001542d #0001542d
\U00014cce #00014cce
䮻 #00004bbb
𘟓 #000187d3
𪭝 #0002ab5d
䣧 #000048e7
牟 #0000725f
𪗠 #0002a5e0
\U00033853 #00033853
㥔 #00003954
\U0001e6e8 #0001e6e8
𗒫 #000174ab
\U00035042 #00035042
쿒 #0000cfd2
\U0003fada #0003fada
\U00036647 #00036647
𡶌 #00021d8c
𥤴 #00025934
펝 #0000d39d
\U000105fd #000105fd
𰱔 #00030c54
\U0003b66d #0003b66d
\U0001f2a2 #0001f2a2
𡬪 #00021b2a
뭉 #0000bb49
𪶻 #0002adbb
𦎵 #000263b5
𰚓 #00030693
\U0001520c #0001520c
\U0002edae #0002edae
\U0003f8d8 #0003f8d8
\U0001be2e #0001be2e
\U0001a41e #0001a41e
\U00012e6e #00012e6e
𢺼 #00022ebc
𡓓 #000214d3
\U0001c5d3 #0001c5d3
📣 #0001f4e3
﹎ #0000fe4e
༨ #00000f28
侠 #00004fa0
틔 #0000d2d4
\ue7f4 #0000e7f4
ᮮ #00001bae
亚 #00004e9a
\U00036a85 #00036a85
蝨 #00008768
\U0003eab7 #0003eab7
𩚣 #000296a3
\ueb98 #0000eb98
𗈶 #00017236
\U0003b351 #0003b351
管 #00007ba1
𡡷 #00021877
䆓 #00004193
貑 #00008c91
\U000357e5 #000357e5
\U0003eaed #0003eaed
— #00002014
𰕏 #0003054f
\U0003e0e3 #0003e0e3
礩 #00007929
𧶷 #00027db7
𣔍 #0002350d
빼 #0000be7c
𠀐 #00020010
馶 #000099b6
\U00034cb3 #00034cb3
\U00037ec8 #00037ec8
\U00034a22 #00034a22
ڪ #000006aa
𭬃 #0002db03
\U0003dfb6 #0003dfb6
\U00036f14 #00036f14
錖 #00009316
糠 #00007ce0
听 #0000542c
𬺌 #0002ce8c
\U0003cf0e #0003cf0e
\U0003f7f3 #0003f7f3
\U0001c741 #0001c741
牧 #00007267
► #000025ba
\U0001bd79 #0001bd79
\U00039059 #00039059
\U0001578d #0001578d
𰧝 #000309dd
㻟 #00003edf
𣧿 #000239ff
𭼗 #0002df17
锚 #0000951a
𭄁 #0002d101
𣀧 #00023027
𨱑 #00028c51
\U0002a6e1 #0002a6e1
\U0003db55 #0003db55
漂 #00006f02
𫋐 #0002b2d0
\U00033d40 #00033d40
\U000119fd #000119fd
Ꮿ #000013ef
ࠡ #00000821
𠾧 #00020fa7
\U00032f5a #00032f5a
\U000399ee #000399ee
\U00014cbc #00014cbc
㬑 #00003b11
ꃒ #0000a0d2
\U0001e425 #0001e425
𪿅 #0002afc5
\U00039726 #00039726
\U0003a07d #0003a07d
\U00019bf5 #00019bf5
\U00037ff5 #00037ff5
킼 #0000d0bc
𠶭 #00020dad
𭙩 #0002d669
\U0003c95f #0003c95f
𩗋 #000295cb
\U00036f98 #00036f98
𬌨 #0002c328
𧉪 #0002726a
\U0001ffcb #0001ffcb
\U0003b726 #0003b726
앙 #0000c559
罪 #00007f6a
\U00034715 #00034715
\U000399f7 #000399f7
馃 #00009983
\U0003eb20 #0003eb20
𰢡 #000308a1
𧲥 #00027ca5
原 #0000539f
𧰴 #00027c34
𤵚 #00024d5a
\U0003d6b0 #0003d6b0
\U00031db6 #00031db6
\U0001eab0 #0001eab0
\U0002fb4d #0002fb4d
遇 #00009047
ឳ #000017b3
冯 #000051af
𗴄 #00017d04
\U0003a700 #0003a700
𢗢 #000225e2
𗔀 #00017500
括 #000062ec
𤦴 #000249b4
𝀩 #0001d029
\U0001f1b1 #0001f1b1
퍤 #0000d364
𩻫 #00029eeb
\U0003cde5 #0003cde5
\U0001408f #0001408f
\U00015df0 #00015df0
𰻊 #00030eca
𰩚 #00030a5a
\U0001545a #0001545a
柯 #000067ef
ᗓ #000015d3
\U0001dab9 #0001dab9
㮻 #00003bbb
\U00038e82 #00038e82
𤠧 #00024827
\U0003f100 #0003f100
\U0003c260 #0003c260
䵖 #00004d56
\U0003a984 #0003a984
𬢥 #0002c8a5
\U0001137d #0001137d
\U00014eee #00014eee
\U00031ec9 #00031ec9
\U0001ff5d #0001ff5d
\U0003e56b #0003e56b
𰫦 #00030ae6
𘰛 #00018c1b
\U000346f3 #000346f3
𩅇 #00029147
ਭ #00000a2d
𠝾 #0002077e
𰴆 #00030d06
\U0001b780 #0001b780
\U00034369 #00034369
\U0003c991 #0003c991
𠗣 #000205e3
\U000190ee #000190ee
\U00037118 #00037118
𩅭 #0002916d
𠙬 #0002066c
\U00032690 #00032690
𝘎 #0001d60e
𛃳 #0001b0f3
\U0003b749 #0003b749
𤄺 #0002413a
\U00014303 #00014303
\U0003385d #0003385d
𬠎 #0002c80e
\U00037b57 #00037b57
\U0003a458 #0003a458
\U000351fc #000351fc
\U00012ad3 #00012ad3
𭑅 #0002d445
𘍝 #0001835d
霚 #0000971a
\U000194de #000194de
\U00014a20 #00014a20
𰅥 #00030165
\U00038f9d #00038f9d
߾ #000007fe
\u0a57 #00000a57
𦎽 #000263bd
𓂌 #0001308c
㴘 #00003d18
𗰹 #00017c39
\ue2af #0000e2af
\U0001528f #0001528f
𣰻 #00023c3b
\U0003cf89 #0003cf89
쌵 #0000c335
𰎤 #000303a4
\U0002f53a #0002f53a
\U0003ef60 #0003ef60
𦬮 #00026b2e
帶 #00005e36
𩹻 #00029e7b
ⲫ #00002cab
𐛛 #000106db
𝂀 #0001d080
㎍ #0000338d
𮅌 #0002e14c
🡢 #0001f862
𡈍 #0002120d
🀚 #0001f01a
𩮣 #00029ba3
𤹔 #00024e54
𨩅 #00028a45
𪁰 #0002a070
\U000116fe #000116fe
𭕀 #0002d540
𥅜 #0002515c
繁 #00007e41
ﶧ #0000fda7
\U0001c12d #0001c12d
◟ #000025df
\U00014686 #00014686
蟕 #000087d5
፴ #00001374
\U0002fdef #0002fdef
𣻡 #00023ee1
\U0003de64 #0003de64
\U00036477 #00036477
\U0003d407 #0003d407
\U0003af15 #0003af15
𩸤 #00029e24
\U0001edeb #0001edeb
ྟ #00000f9f
魣 #00009b63
\U00015f46 #00015f46
\U0001bde0 #0001bde0
\ue8cb #0000e8cb
\U0003b98d #0003b98d
퍫 #0000d36b
𝔇 #0001d507
𝢏 #0001d88f
𩘾 #0002963e
⿲ #00002ff2
诗 #00008bd7
革 #00009769
\U00036ce8 #00036ce8
\U000375df #000375df
\U0001cd79 #0001cd79
𮣡 #0002e8e1
𔕍 #0001454d
⫔ #00002ad4
\U00010bcc #00010bcc
\U0002f1f7 #0002f1f7
𠨗 #00020a17
\U000187ff #000187ff
𫶷 #0002bdb7
\U0003e4be #0003e4be
𡺙 #00021e99
𬗐 #0002c5d0
\U000154c7 #000154c7
ு #00000bc1
\U00034379 #00034379
\U00038e3f #00038e3f
\uf20a #0000f20a
\U00038d01 #00038d01
\U0003e4db #0003e4db
𖨔 #00016a14
繡 #00007e61
\U0003a3f5 #0003a3f5
𥥂 #00025942
\U0001e9ab #0001e9ab
𗅫 #0001716b
㩈 #00003a48
賳 #00008cf3
\U0001999b #0001999b
ዿ #000012ff
ꦠ #0000a9a0
\U00038479 #00038479
𠺟 #00020e9f
𫿹 #0002bff9
䕪 #0000456a
𣞐 #00023790
\U00037793 #00037793
𒊊 #0001228a
𫳗 #0002bcd7
\U0001e212 #0001e212
𢐭 #0002242d
ᲆ #00001c86
\U00018ef2 #00018ef2
\U0003d335 #0003d335
\U000164cd #000164cd
㿰 #00003ff0
\ueb0c #0000eb0c
⪚ #00002a9a
\U0001ab88 #0001ab88
\U0003dacd #0003dacd
𧲏 #00027c8f
ఽ #00000c3d
뜥 #0000b725
𨬗 #00028b17
䯯 #00004bef
\U0003430d #0003430d
\U00031f56 #00031f56
絈 #00007d48
𒔚 #0001251a
ẑ #00001e91
\U000153d1 #000153d1
\U0001dfe7 #0001dfe7
\U00014c1b #00014c1b
ꍩ #0000a369
ɯ #0000026f
➥ #000027a5
\U000141a7 #000141a7
麬 #00009eac
遙 #00009059
🝐 #0001f750
𣷑 #00023dd1
\U0001901c #0001901c
\U000154fb #000154fb
𬊡 #0002c2a1
밊 #0000bc0a
㓠 #000034e0
\U000187f9 #000187f9
\U00014be2 #00014be2
\U00035399 #00035399
𡄂 #00021102
𧋳 #000272f3
\U0003767f #0003767f
發 #0000767c
\U00010584 #00010584
勏 #000052cf
𥘊 #0002560a
뼺 #0000bf3a
\U00018d61 #00018d61
\U00019bd4 #00019bd4
𠔵 #00020535
𤁲 #00024072
僱 #000050f1
𧒭 #000274ad
묕 #0000bb15
ﶒ #0000fd92
길 #0000ae38
𬫝 #0002cadd
𥦂 #00025982
𩮇 #00029b87
\U0001c633 #0001c633
ඍ #00000d8d
𥾳 #00025fb3
𦘱 #00026631
𭷈 #0002ddc8
匔 #00005314
𒋢 #000122e2
\U00034774 #00034774
\U00036e8e #00036e8e
\U00036c16 #00036c16
🗱 #0001f5f1
硧 #00007867
\ue177 #0000e177
\U0001a736 #0001a736
\U0003711a #0003711a
𔘦 #00014626
\U0001f2b6 #0001f2b6
\U00032efa #00032efa
\U000334f6 #000334f6
\U00032548 #00032548
𧠞 #0002781e
𓋤 #000132e4
㵍 #00003d4d
\U00033d95 #00033d95
靿 #0000977f
\U0003e9d9 #0003e9d9
🅩 #0001f169
腽 #0000817d
壻 #000058fb
\U0001a566 #0001a566
𫁛 #0002b05b
\U00012b5f #00012b5f
🢇 #0001f887
\U00032159 #00032159
\U00038fa1 #00038fa1
골 #0000ace8
𝛕 #0001d6d5
\U0003ac95 #0003ac95
\U0003921c #0003921c
\U00038e7c #00038e7c
𰕦 #00030566
𱇗 #000311d7
\U00019e26 #00019e26
\uf222 #0000f222
\U00037207 #00037207
𩽽 #00029f7d
帩 #00005e29
赆 #00008d46
\U0001de04 #0001de04
ᔢ #00001522
\U0001c370 #0001c370
𮫰 #0002eaf0
뎋 #0000b38b
\U00032056 #00032056
詋 #00008a4b
𨦳 #000289b3
𩽈 #00029f48
\U0003b5a2 #0003b5a2
𒀔 #00012014
㠳 #00003833
\uf2cb #0000f2cb
鹡 #00009e61
\U00011f5e #00011f5e
꽇 #0000af47
𒁛 #0001205b
𭁊 #0002d04a
\u0b7a #00000b7a
\U00034391 #00034391
欶 #00006b36
𖬞 #00016b1e
𦺺 #00026eba
\U0003574b #0003574b
𪔀 #0002a500
\U0003403c #0003403c
\U00037465 #00037465
\U00038fb9 #00038fb9
𭡰 #0002d870
\U0003e68b #0003e68b
\U000152e3 #000152e3
\U0003c65e #0003c65e
\U00011844 #00011844
𦠮 #0002682e
𭁹 #0002d079
𘄶 #00018136
𭽽 #0002df7d
猃 #00007303
\U000154ad #000154ad
\ue773 #0000e773
\U00014cef #00014cef
㱑 #00003c51
\U000387d5 #000387d5
⊷ #000022b7
漏 #00006f0f
\uf7f1 #0000f7f1
ॆ #00000946
\U00010be0 #00010be0
𨣬 #000288ec
\U0003683c #0003683c
뒡 #0000b4a1
\U00011bbd #00011bbd
\U00036209 #00036209
㶙 #00003d99
𦚲 #000266b2
\U0003f87b #0003f87b
𢓩 #000224e9
𥰴 #00025c34
\uf34d #0000f34d
뼙 #0000bf19
\U0002f6c8 #0002f6c8
𑈐 #00011210
곀 #0000acc0
Ꮘ #000013c8
灨 #00007068
\U00037b7d #00037b7d
\U0003f920 #0003f920
𤭒 #00024b52
𓈍 #0001320d
\U0003db8e #0003db8e
\U0001e1ee #0001e1ee
ꆌ #0000a18c
\U0003ba88 #0003ba88
\U00032577 #00032577
\U0001e4d7 #0001e4d7
\U0003f740 #0003f740
\U0001c2f1 #0001c2f1
橐 #00006a50
ぉ #00003049
\U00032573 #00032573
\U000149a4 #000149a4
Ϟ #000003de
𐔞 #0001051e
𥞚 #0002579a
\u0d11 #00000d11
𪿘 #0002afd8
𥐥 #00025425
㰌 #00003c0c
ଚ #00000b1a
𭻁 #0002dec1
折 #00006298
梻 #000068bb
\U0003faf0 #0003faf0
덞 #0000b35e
靠 #00009760
\U0001c590 #0001c590
𪛅 #0002a6c5
\U0003aedf #0003aedf
\ue74c #0000e74c
鞢 #000097a2
\uf8d6 #0000f8d6
厬 #000053ac
\U00019564 #00019564
\ue653 #0000e653
𥼉 #00025f09
\u3000 #00003000
颜 #0000989c
\U0003a328 #0003a328
𗘱 #00017631
ꀿ #0000a03f
\U00032ee9 #00032ee9
\U00032b13 #00032b13
짓 #0000c9d3
\U0001c700 #0001c700
\U000137ed #000137ed
삄 #0000c084
𦖑 #00026591
\U000198a8 #000198a8
\U00013c4c #00013c4c
퇌 #0000d1cc
𣝆 #00023746
\uedb5 #0000edb5
\U0002f210 #0002f210
倧 #00005027
🚺 #0001f6ba
\U00016fa8 #00016fa8
\U0003adaf #0003adaf
\U0002fe07 #0002fe07
\U000351b3 #000351b3
\U0001b9b5 #0001b9b5
𢎨 #000223a8
\U0001b410 #0001b410
𘞘 #00018798
\U0003cb23 #0003cb23
\U0003e7c5 #0003e7c5
𝅨 #0001d168
\U00011e6b #00011e6b
蕳 #00008573
\U000348d0 #000348d0
Ö #000000d6
𧯝 #00027bdd
\U0001ab0f #0001ab0f
\U0003afc7 #0003afc7
羒 #00007f92
𡥺 #0002197a
\U0003b4b4 #0003b4b4
\U0003f1de #0003f1de
𖡽 #0001687d
\U00031ba2 #00031ba2
𠱢 #00020c62
\U00011255 #00011255
\U0003cde7 #0003cde7
℺ #0000213a
\U00018fe2 #00018fe2
\U0003b2a7 #0003b2a7
𠩁 #00020a41
㼱 #00003f31
\U00031e45 #00031e45
\U0003f6b0 #0003f6b0
\U000328ce #000328ce
𑆃 #00011183
煻 #0000717b
𒆑 #00012191
\ue99b #0000e99b
\U00039dae #00039dae
𝘑 #0001d611
ᙗ #00001657
𘉋 #0001824b
讧 #00008ba7
\U0003ac3b #0003ac3b
\U0003514f #0003514f
㾞 #00003f9e
\U0001908b #0001908b
𢳙 #00022cd9
\U0001adba #0001adba
𪘔 #0002a614
𘫺 #00018afa
\U00015e2c #00015e2c
ᗔ #000015d4
𘐰 #00018430
\U00038c36 #00038c36
\U0001aec1 #0001aec1
\U00033d70 #00033d70
췰 #0000cdf0
\U0003e984 #0003e984
\U0003a7c1 #0003a7c1
𐒺 #000104ba
\U00033847 #00033847
⻤ #00002ee4
\U000136e9 #000136e9
\U00032e51 #00032e51
\U000147f0 #000147f0
\U0001cf3d #0001cf3d
\U0003dfb9 #0003dfb9
𩠪 #0002982a
𮈿 #0002e23f
\U00019e1e #00019e1e
\U0001a158 #0001a158
𣆧 #000231a7
⠾ #0000283e
낢 #0000b0a2
⭧ #00002b67
\U00031ab8 #00031ab8
\U000338fb #000338fb
𤵌 #00024d4c
𘨮 #00018a2e
𓈌 #0001320c
\U0003e394 #0003e394
𘡮 #0001886e
𰮯 #00030baf
\U00014ad0 #00014ad0
病 #000075c5
醧 #000091a7
춬 #0000cdac
𡅺 #0002117a
\U000192ca #000192ca
𠘶 #00020636
\U000315f2 #000315f2
𘡸 #00018878
\U000341dc #000341dc
乐 #00004e50
\U00013ff8 #00013ff8
𩝏 #0002974f
𡷁 #00021dc1
\U00034d28 #00034d28
𰛢 #000306e2
\U00039db0 #00039db0
\U0001583e #0001583e
\U0003b098 #0003b098
墐 #00005890
鷻 #00009dfb
𨾥 #00028fa5
\uf455 #0000f455
틛 #0000d2db
붟 #0000bd9f
\U0001ccf0 #0001ccf0
ڹ #000006b9
鰠 #00009c20
\U0003a30e #0003a30e
\U00032614 #00032614
𫓫 #0002b4eb
\U0003a883 #0003a883
\U00014ee5 #00014ee5
𮓮 #0002e4ee
𪼙 #0002af19
𫭖 #0002bb56
좶 #0000c8b6
\U00012736 #00012736
\U0003266e #0003266e
瓼 #000074fc
\U0003f512 #0003f512
🌠 #0001f320
\U0001e36d #0001e36d
\U0003692d #0003692d
\U0001b9bf #0001b9bf
𥽰 #00025f70
\U0001fe09 #0001fe09
𬽰 #0002cf70
𫄣 #0002b123
\ufde8 #0000fde8
\U00012ad8 #00012ad8
\U00036439 #00036439
\U0003c4a5 #0003c4a5
𡸡 #00021e21
𰡕 #00030855
\U0002edb7 #0002edb7
⹐ #00002e50
斪 #000065aa
\U000327e5 #000327e5
\U00013f74 #00013f74
\U0002ee91 #0002ee91
a #00000061
\U00038dbb #00038dbb
\U000152f6 #000152f6
\U0003e730 #0003e730
𓄊 #0001310a
𗷭 #00017ded
𥛁 #000256c1
𮧺 #0002e9fa
笏 #00007b0f
𰷣 #00030de3
\U00014fc5 #00014fc5
𢿒 #00022fd2
\U000346ce #000346ce
𣡗 #00023857
\U0003d24b #0003d24b
\U0003c841 #0003c841
\U00015a25 #00015a25
𫣪 #0002b8ea
榟 #0000699f
\U0002f6ab #0002f6ab
𮩑 #0002ea51
뛝 #0000b6dd
裰 #000088f0
غ #0000063a
𗄄 #00017104
\U0003c4ce #0003c4ce
⽥ #00002f65
\u1afb #00001afb
돆 #0000b3c6
\U00015cd0 #00015cd0
\U0001d3b0 #0001d3b0
\U0001aeea #0001aeea
𩃟 #000290df
𩯣 #00029be3
\U000190a3 #000190a3
\U0001056c #0001056c
𒐃 #00012403
𔘂 #00014602
틄 #0000d2c4
𓈝 #0001321d
𢩧 #00022a67
𬽣 #0002cf63
\U0003ca3c #0003ca3c
줺 #0000c93a
𣐟 #0002341f
𰨊 #00030a0a
紵 #00007d35
𢧏 #000229cf
둗 #0000b457
𥮬 #00025bac
𑂁 #00011081
铴 #000094f4
앰 #0000c570
\U0003b740 #0003b740
𠸣 #00020e23
\U00037086 #00037086
\U0003b393 #0003b393
🎘 #0001f398
\U0002f1fe #0002f1fe
Ẵ #00001eb4
𥶹 #00025db9
욻 #0000c6bb
𬛕 #0002c6d5
䂥 #000040a5
\U0003c876 #0003c876
\U0003701a #0003701a
𰌁 #00030301
ഉ #00000d09
먭 #0000ba2d
𣓇 #000234c7
𧤂 #00027902
