𠀝 #0002001d
\U000328f9 #000328f9
\U0001c2f1 #0001c2f1
\U000149a4 #000149a4
\U0001e6aa #0001e6aa
Ϟ #000003de
\U0003359d #0003359d
𩜠 #00029720
𭻁 #0002dec1
折 #00006298
𧾓 #00027f93
𧳸 #00027cf8
梻 #000068bb
𢫔 #00022ad4
靠 #00009760
\U00015cdb #00015cdb
𡚑 #00021691
嵤 #00005d64
\U0002f52b #0002f52b
颜 #0000989c
𬥯 #0002c96f
\U0001dbfc #0001dbfc
㟖 #000037d6
춃 #0000cd83
\U000393d5 #000393d5
\U00039c87 #00039c87
\U000143d7 #000143d7
𡃕 #000210d5
\U0001cff7 #0001cff7
🚺 #0001f6ba
\U0003adaf #0003adaf
\U0002fe07 #0002fe07
𡸺 #00021e3a
\U0001baa9 #0001baa9
𝅨 #0001d168
𥇼 #000251fc
롲 #0000b872
𧯝 #00027bdd
𣣬 #000238ec
\U0003b4b4 #0003b4b4
\U0003f1de #0003f1de
\U00035daf #00035daf
𬸻 #0002ce3b
\U00031e45 #00031e45
\U0003f6b0 #0003f6b0
\U0003ac3b #0003ac3b
䱎 #00004c4e
\U00013693 #00013693
\U0001fcb2 #0001fcb2
ⵔ #00002d54
\U00032a07 #00032a07
𠔤 #00020524
\U0003ed1d #0003ed1d
\U0001515e #0001515e
\U0002f7ee #0002f7ee
\U0001cf3d #0001cf3d
𒊡 #000122a1
\U0002ec53 #0002ec53
\U0003b002 #0003b002
擡 #000064e1
\U00011522 #00011522
刬 #0000522c
𪔋 #0002a50b
𩔥 #00029525
病 #000075c5
춬 #0000cdac
𑥓 #00011953
\U000315f2 #000315f2
𭵪 #0002dd6a
乐 #00004e50
𘮘 #00018b98
\U0002ffc2 #0002ffc2
𨾥 #00028fa5
\U0003ca04 #0003ca04
\U0001c9e3 #0001c9e3
\U0003a30e #0003a30e
𫓫 #0002b4eb
Ȅ #00000204
좶 #0000c8b6
Ქ #00001ca5
\U00036cf4 #00036cf4
🧑 #0001f9d1
\U00035600 #00035600
🌠 #0001f320
𰎙 #00030399
\U0001c5d9 #0001c5d9
\U00019070 #00019070
\U0001a4d9 #0001a4d9
\U0003f0a3 #0003f0a3
㈳ #00003233
\U0002fb78 #0002fb78
\U00012ad8 #00012ad8
\U0003b321 #0003b321
悕 #00006095
𥢳 #000258b3
\uf86d #0000f86d
\U0001de27 #0001de27
𐦿 #000109bf
\U0003d690 #0003d690
\U0002edb7 #0002edb7
𰳝 #00030cdd
⣎ #000028ce
\U00032830 #00032830
𐝅 #00010745
\U0002ee91 #0002ee91
a #00000061
漗 #00006f17
𗷭 #00017ded
Ḩ #00001e28
\U00039444 #00039444
㒁 #00003481
ᕆ #00001546
𤚏 #0002468f
𣍗 #00023357
\U00010fa7 #00010fa7
榟 #0000699f
髧 #00009ae7
\U0001cb1d #0001cb1d
\U00036f76 #00036f76
\U0001e6ca #0001e6ca
𡮝 #00021b9d
\U0003c42d #0003c42d
\U00033240 #00033240
𣾕 #00023f95
غ #0000063a
𤼯 #00024f2f
𰝝 #0003075d
𝥶 #0001d976
\U00015cd0 #00015cd0
𩃟 #000290df
𥺺 #00025eba
𠃘 #000200d8
\U0001056c #0001056c
ꢹ #0000a8b9
𮛅 #0002e6c5
媇 #00005a87
𘖗 #00018597
줺 #0000c93a
\U0003e676 #0003e676
ꎴ #0000a3b4
🨮 #0001fa2e
𮊝 #0002e29d
\U00038fc1 #00038fc1
쪖 #0000ca96
𫢧 #0002b8a7
𬒤 #0002c4a4
\U0003c876 #0003c876
疨 #000075a8
\U0003e89d #0003e89d
㔞 #0000351e
\U0001994d #0001994d
𠬄 #00020b04
먭 #0000ba2d
\U0003c05b #0003c05b
𖦄 #00016984
㦐 #00003990
硐 #00007850
𨑃 #00028443
𓊐 #00013290
\uea5d #0000ea5d
𩱲 #00029c72
\U0001b91c #0001b91c
府 #00005e9c
侀 #0000fa73
虼 #0000867c
헉 #0000d5c9
术 #0000672f
\U0001b4f5 #0001b4f5
\U0001ff3f #0001ff3f
𐧙 #000109d9
案 #00006848
\U00011f8d #00011f8d
\U0002f278 #0002f278
\U0003d6d8 #0003d6d8
龎 #0000fad9
\U0003dd9b #0003dd9b
脬 #0000812c
\U0001be56 #0001be56
耼 #0000803c
\U000147b7 #000147b7
\U000151f1 #000151f1
𱇈 #000311c8
\U00036d40 #00036d40
𪽲 #0002af72
叜 #000053dc
𢨯 #00022a2f
𞢓 #0001e893
𢿼 #00022ffc
𡐅 #00021405
\U0001fc0f #0001fc0f
㶶 #00003db6
\U0001da8f #0001da8f
𡃿 #000210ff
\U000325b8 #000325b8
𪹬 #0002ae6c
\U0003a429 #0003a429
\U0003ff23 #0003ff23
⾈ #00002f88
\U00038fb3 #00038fb3
赮 #00008d6e
𡪕 #00021a95
\U0003b681 #0003b681
\U00019296 #00019296
\U0001576d #0001576d
檑 #00006a91
𤩷 #00024a77
\U0003580f #0003580f
\U0001b326 #0001b326
超 #00008d85
靪 #0000976a
该 #00008be5
𝟙 #0001d7d9
𔑤 #00014464
\U00014e11 #00014e11
慶 #00006176
历 #00005386
\U0003a7f0 #0003a7f0
\U0001976d #0001976d
爔 #00007214
\U00015370 #00015370
𠊴 #000202b4
𤗐 #000245d0
\U0001df34 #0001df34
希 #00005e0c
𠷗 #00020dd7
\U00015f43 #00015f43
\U00013f0e #00013f0e
𘢓 #00018893
ऴ #00000934
\U0001078e #0001078e
寰 #00005bf0
戤 #00006224
\U000325bd #000325bd
\U00037c49 #00037c49
𮝲 #0002e772
꒲ #0000a4b2
欥 #00006b25
\U0003b0ae #0003b0ae
🐄 #0001f404
\ue6c0 #0000e6c0
𰄃 #00030103
𨝮 #0002876e
𘗍 #000185cd
𢟩 #000227e9
\U000386ed #000386ed
\U0001fc0e #0001fc0e
\U0003b400 #0003b400
\U000129f0 #000129f0
𰘾 #0003063e
𫻠 #0002bee0
鵭 #00009d6d
𧷉 #00027dc9
\U00013f32 #00013f32
\ue013 #0000e013
\U00019a72 #00019a72
𬆞 #0002c19e
\U00011b88 #00011b88
熠 #000071a0
\U0003fbee #0003fbee
\U000397a8 #000397a8
𒊱 #000122b1
齂 #00009f42
屽 #00005c7d
Ἲ #00001f3a
𣰭 #00023c2d
\U0001cc3c #0001cc3c
렘 #0000b818
¯ #000000af
П #0000041f
黑 #00009ed1
푡 #0000d461
க #00000b95
Ǫ #000001ea
\U00015516 #00015516
썈 #0000c348
𪚪 #0002a6aa
𝘷 #0001d637
\U00018f45 #00018f45
𑓓 #000114d3
싱 #0000c2f1
𪡳 #0002a873
\uef1f #0000ef1f
教 #00006559
\U00031c4f #00031c4f
\ue379 #0000e379
蜮 #0000872e
𛈴 #0001b234
袇 #00008887
ゖ #00003096
뫬 #0000baec
𬊑 #0002c291
\U00035a24 #00035a24
\U0003a242 #0003a242
𧃖 #000270d6
\U00011505 #00011505
燖 #000071d6
\U00019557 #00019557
\U000383b5 #000383b5
\U00037626 #00037626
\uaaf9 #0000aaf9
𪈛 #0002a21b
\U00019658 #00019658
ꉬ #0000a26c
𗸌 #00017e0c
\U0003fc37 #0003fc37
흟 #0000d75f
\ue2b0 #0000e2b0
\U00036864 #00036864
窡 #00007aa1
𠝼 #0002077c
𱇫 #000311eb
\U0003e43e #0003e43e
㮋 #00003b8b
\U0001c725 #0001c725
㼜 #00003f1c
𗝟 #0001775f
\ueeae #0000eeae
\U00034eaf #00034eaf
𣽠 #00023f60
\U00037d69 #00037d69
\U0002f78a #0002f78a
𰀥 #00030025
﹗ #0000fe57
\U0002f3bc #0002f3bc
𡟂 #000217c2
\U00011f7d #00011f7d
≄ #00002244
ꭕ #0000ab55
𫢹 #0002b8b9
㡘 #00003858
牗 #00007257
\ueec9 #0000eec9
ዓ #000012d3
後 #00005f8c
𢣞 #000228de
𰌶 #00030336
\U0003db9d #0003db9d
㡵 #00003875
仪 #00004eea
\U000197b0 #000197b0
\U000345d0 #000345d0
缰 #00007f30
𠫞 #00020ade
何 #00004f55
\U000392d8 #000392d8
\U00039922 #00039922
\U000342ea #000342ea
𩦎 #0002998e
쿾 #0000cffe
\U0003fbb6 #0003fbb6
\U000163b1 #000163b1
𥾒 #00025f92
⮍ #00002b8d
\U0003fe0e #0003fe0e
𦷖 #00026dd6
𢢇 #00022887
𤡼 #0002487c
\ue2f4 #0000e2f4
𬁱 #0002c071
\U0002f2bd #0002f2bd
\U0003cb73 #0003cb73
𩞞 #0002979e
\U0003dfaa #0003dfaa
𨏤 #000283e4
𨟖 #000287d6
\U0002f559 #0002f559
\U0001a414 #0001a414
\U00015311 #00015311
ữ #00001eef
\U00037064 #00037064
𬲉 #0002cc89
𤄼 #0002413c
摼 #0000647c
\U0001a6ee #0001a6ee
𬽹 #0002cf79
匍 #0000530d
𠩢 #00020a62
䴀 #00004d00
\U0003addd #0003addd
옶 #0000c636
\U000385e7 #000385e7
\U0001bdb0 #0001bdb0
䛯 #000046ef
\U00034c50 #00034c50
𠚥 #000206a5
𪄇 #0002a107
𨵑 #00028d51
𫜡 #0002b721
\U00036a03 #00036a03
\U00033b86 #00033b86
獻 #0000737b
\U0003c890 #0003c890
\U0003ef97 #0003ef97
𡡙 #00021859
\U00015481 #00015481
\U0001cfed #0001cfed
𑩨 #00011a68
\U0001c478 #0001c478
\U0003b710 #0003b710
\U0001e35c #0001e35c
𘧂 #000189c2
\U000365fd #000365fd
\U00038f70 #00038f70
\U00036452 #00036452
\U00011770 #00011770
\U00033d67 #00033d67
\U0003f44c #0003f44c
\U0003483c #0003483c
𦩿 #00026a7f
𝟢 #0001d7e2
\U0001156d #0001156d
㨀 #00003a00
𤟇 #000247c7
𞴇 #0001ed07
𭱜 #0002dc5c
۞ #000006de
\U0001e4c9 #0001e4c9
𘋘 #000182d8
\U0003faa6 #0003faa6
\U0001b633 #0001b633
踮 #00008e2e
𣺏 #00023e8f
匹 #00005339
𠇬 #000201ec
化 #00005316
\U0003daea #0003daea
\U00034739 #00034739
\U00032415 #00032415
\U0003d80f #0003d80f
\U0003f00a #0003f00a
ᑷ #00001477
\U000165b1 #000165b1
\u2d6e #00002d6e
\U000330b3 #000330b3
筗 #00007b57
Đ #00000110
\uf0b1 #0000f0b1
\U00032d2e #00032d2e
𬪖 #0002ca96
\U0003dc19 #0003dc19
𨻘 #00028ed8
\U00036184 #00036184
캡 #0000cea1
ꛅ #0000a6c5
\U000143c1 #000143c1
𔖓 #00014593
\U00034687 #00034687
𓐬 #0001342c
\uf547 #0000f547
\U0001b377 #0001b377
𮀪 #0002e02a
훵 #0000d6f5
\U0003bd63 #0003bd63
𬉜 #0002c25c
쉺 #0000c27a
𰙤 #00030664
𥀳 #00025033
錘 #00009318
㨩 #00003a29
९ #0000096f
\U0001967c #0001967c
\U00039503 #00039503
\U0001a627 #0001a627
ʾ #000002be
괫 #0000ad2b
规 #000089c4
𧺅 #00027e85
\U0003e6e2 #0003e6e2
\U00032205 #00032205
\U0003d916 #0003d916
ु #00000941
𘐪 #0001842a
𧼒 #00027f12
\U00031a03 #00031a03
𠡹 #00020879
\U0002ecb0 #0002ecb0
몢 #0000baa2
𰾒 #00030f92
\U0003758a #0003758a
\U000365f5 #000365f5
\U0001a8b9 #0001a8b9
₇ #00002087
𬇹 #0002c1f9
𫃸 #0002b0f8
\U00013822 #00013822
\U0003adfa #0003adfa
뜫 #0000b72b
\uf724 #0000f724
𥗤 #000255e4
\ue249 #0000e249
\U000357ac #000357ac
\U0001247c #0001247c
\U0001d2ba #0001d2ba
\U000365ff #000365ff
\U0002f0de #0002f0de
𠧐 #000209d0
𬎝 #0002c39d
🄗 #0001f117
\U00031ba8 #00031ba8
\U00015750 #00015750
\U0003bc0d #0003bc0d
𐤃 #00010903
𰂫 #000300ab
\U0001eba7 #0001eba7
\U0003fc95 #0003fc95
\U000338d9 #000338d9
\U00016ecd #00016ecd
芼 #000082bc
𫦔 #0002b994
愁 #00006101
𩤂 #00029902
𫨔 #0002ba14
\U0003bbe5 #0003bbe5
🩒 #0001fa52
𬸸 #0002ce38
\U0001c09d #0001c09d
\U00015dd9 #00015dd9
\U0003356e #0003356e
组 #00007ec4
翑 #00007fd1
𫐝 #0002b41d
\U00015914 #00015914
꒔ #0000a494
𗜢 #00017722
𮘷 #0002e637
\U00019dec #00019dec
𘅫 #0001816b
T #00000054
\U0002edfc #0002edfc
\U000193e9 #000193e9
\U000399b4 #000399b4
𥪒 #00025a92
㰉 #00003c09
𤚲 #000246b2
₆ #00002086
\U00016129 #00016129
\U00034ed8 #00034ed8
\U00014131 #00014131
\U0001bf71 #0001bf71
\U0002ff01 #0002ff01
\U0001a255 #0001a255
\U00038302 #00038302
𫛝 #0002b6dd
\U0003c3ca #0003c3ca
뻞 #0000bede
𠢑 #00020891
\U00032229 #00032229
\U0003ccbb #0003ccbb
\U0001ff74 #0001ff74
𠯰 #00020bf0
𡷬 #00021dec
𠞰 #000207b0
\U000197ab #000197ab
\U0003a47e #0003a47e
؋ #0000060b
༼ #00000f3c
\U0003d0de #0003d0de
\U0003b5f9 #0003b5f9
덵 #0000b375
𛀋 #0001b00b
𤥇 #00024947
텑 #0000d151
𐺣 #00010ea3
\ue79d #0000e79d
\U00031df5 #00031df5
𠢆 #00020886
𡮐 #00021b90
\U0001644d #0001644d
㟚 #000037da
𑵖 #00011d56
\U00033884 #00033884
𩪘 #00029a98
с #00000441
𢑭 #0002246d
𥟟 #000257df
𮗉 #0002e5c9
\uec53 #0000ec53
观 #000089c2
\U00036226 #00036226
𨵋 #00028d4b
\U00034ae8 #00034ae8
\U00032b58 #00032b58
\U0003de89 #0003de89
\U00010962 #00010962
\U000398cb #000398cb
\U00038fd6 #00038fd6
𬛃 #0002c6c3
補 #000088dc
\U0002f180 #0002f180
𝢱 #0001d8b1
𰏌 #000303cc
\U000334d6 #000334d6
𤷛 #00024ddb
𮩥 #0002ea65
ﳄ #0000fcc4
𣮠 #00023ba0
𫉚 #0002b25a
\U00033e07 #00033e07
\U000139d0 #000139d0
鉌 #0000924c
\U0003138a #0003138a
𒇧 #000121e7
𝆴 #0001d1b4
🗰 #0001f5f0
𫐍 #0002b40d
岸 #00005cb8
\U0003ec8d #0003ec8d
\U0001ba7d #0001ba7d
玝 #0000739d
\U0003d628 #0003d628
\U0001398d #0001398d
ꛕ #0000a6d5
\U0001469e #0001469e
𐛹 #000106f9
𐇽 #000101fd
\U0001b3ef #0001b3ef
𧊵 #000272b5
依 #00004f9d
奇 #00005947
\U0003d129 #0003d129
\ue5f1 #0000e5f1
𘅙 #00018159
\U0003cbf6 #0003cbf6
\U00039946 #00039946
𞋏 #0001e2cf
\U0003252a #0003252a
𪲳 #0002acb3
𪚘 #0002a698
\U0003ae9b #0003ae9b
𧱟 #00027c5f
튃 #0000d283
𝇨 #0001d1e8
𗟏 #000177cf
𬺔 #0002ce94
𰈌 #0003020c
᠓ #00001813
\U0003cd3b #0003cd3b
\U0003bf56 #0003bf56
痈 #000075c8
困 #000056f0
\U0003e965 #0003e965
𬱄 #0002cc44
ව #00000dc0
垧 #000057a7
婭 #00005a6d
𐊉 #00010289
\U0003c0d7 #0003c0d7
\U000151bf #000151bf
𢛖 #000226d6
\U00035341 #00035341
\U00015c32 #00015c32
2 #00000032
\U0003f4c5 #0003f4c5
\U00013f66 #00013f66
骅 #00009a85
ⶽ #00002dbd
𣖶 #000235b6
\uf451 #0000f451
𘲖 #00018c96
萮 #0000842e
\U000388b1 #000388b1
\U0003aa81 #0003aa81
绝 #00007edd
\U00035897 #00035897
\U0001cd68 #0001cd68
\U0003f44e #0003f44e
𒐁 #00012401
𡐰 #00021430
𨹚 #00028e5a
\U0001b44b #0001b44b
\U000350f3 #000350f3
\U00035484 #00035484
\U000321cd #000321cd
\U00019ff4 #00019ff4
\U0003636c #0003636c
𣮉 #00023b89
𢨦 #00022a26
𘢥 #000188a5
貦 #00008ca6
𪿞 #0002afde
\U000127dd #000127dd
툜 #0000d21c
𭷤 #0002dde4
\U00015f85 #00015f85
윍 #0000c70d
𰰋 #00030c0b
萵 #00008435
\U00019d02 #00019d02
胆 #000080c6
\U00033895 #00033895
\U00034a46 #00034a46
\U00016d32 #00016d32
믌 #0000bbcc
𮮋 #0002eb8b
폐 #0000d3d0
퓡 #0000d4e1
𭉽 #0002d27d
㧌 #000039cc
賴 #00008cf4
첡 #0000cca1
떺 #0000b5ba
\U00036d6b #00036d6b
铺 #000094fa
𡵈 #00021d48
鉟 #0000925f
𨊵 #000282b5
倦 #00005026
웡 #0000c6e1
\U0001fd30 #0001fd30
\U00034819 #00034819
\U0003e1a0 #0003e1a0
\U00039073 #00039073
抗 #00006297
\U00033778 #00033778
胃 #000080c3
셐 #0000c150
낗 #0000b097
𘠦 #00018826
\uf74f #0000f74f
ᴉ #00001d09
𠧾 #000209fe
𩤭 #0002992d
\U0003fc6f #0003fc6f
\U0001915b #0001915b
\U00037c7c #00037c7c
붾 #0000bdbe
𧲯 #00027caf
\U0003778f #0003778f
䪻 #00004abb
𥃧 #000250e7
\U0001cbe1 #0001cbe1
𰡶 #00030876
𰡩 #00030869
𭦪 #0002d9aa
赻 #00008d7b
ᡕ #00001855
𗀝 #0001701d
\U00039f8a #00039f8a
\U00031f17 #00031f17
𡁵 #00021075
\U0003de12 #0003de12
𞤱 #0001e931
\U0003e57b #0003e57b
\U00038ea4 #00038ea4
\uf796 #0000f796
𓈀 #00013200
\U0003609c #0003609c
䏬 #000043ec
\U0003cc49 #0003cc49
︁ #0000fe01
嫚 #00005ada
\U00013de1 #00013de1
𮝶 #0002e776
⎪ #000023aa
\U0003b384 #0003b384
\U000142ca #000142ca
\U0002ee0a #0002ee0a
\U00038b67 #00038b67
\U0003785a #0003785a
𤄏 #0002410f
ấ #00001ea5
\U00016c25 #00016c25
\U00031b66 #00031b66
𧇩 #000271e9
\U0001b827 #0001b827
䮷 #00004bb7
騎 #00009a0e
\U0001a395 #0001a395
\U0003f0fd #0003f0fd
夢 #0002f85e
\uea08 #0000ea08
\U00012cc9 #00012cc9
豙 #00008c59
\U000390a0 #000390a0
\U00032c70 #00032c70
\uedd6 #0000edd6
𣡑 #00023851
\U000139a7 #000139a7
ꙗ #0000a657
融 #0000878d
𣆰 #000231b0
权 #00006743
驜 #00009a5c
쁝 #0000c05d
ၤ #00001064
𰢟 #0003089f
\U0003a202 #0003a202
\U0003a666 #0003a666
ᤝ #0000191d
굛 #0000ad5b
\U0002ece1 #0002ece1
\U0003f633 #0003f633
优 #00004f18
\ue0bb #0000e0bb
\U0003c3a7 #0003c3a7
\U00031a3d #00031a3d
립 #0000b9bd
𫲗 #0002bc97
\U0003558a #0003558a
빒 #0000be52
࡞ #0000085e
𫿠 #0002bfe0
𬧴 #0002c9f4
𨝲 #00028772
ꖋ #0000a58b
싎 #0000c2ce
\U0003c407 #0003c407
𧔩 #00027529
𡵸 #00021d78
𗃵 #000170f5
⋂ #000022c2
𭎎 #0002d38e
𗖥 #000175a5
۶ #000006f6
\U0001ffdd #0001ffdd
𮘒 #0002e612
𭼞 #0002df1e
\U0001b9d5 #0001b9d5
𠑑 #00020451
\U00038f1e #00038f1e
𫀍 #0002b00d
\ue696 #0000e696
𧷁 #00027dc1
\U000359c5 #000359c5
动 #000052a8
𫮤 #0002bba4
\U000398cd #000398cd
\U0001e257 #0001e257
限 #00009650
𑶕 #00011d95
𩥲 #00029972
␞ #0000241e
𪃢 #0002a0e2
\U0003d0ad #0003d0ad
\U0001a312 #0001a312
\U000372ae #000372ae
𬕩 #0002c569
\U0003483a #0003483a
\U0003d198 #0003d198
𩽛 #00029f5b
\U00016697 #00016697
\U00032a32 #00032a32
𫇦 #0002b1e6
豉 #00008c49
𘏤 #000183e4
\U0003b761 #0003b761
🛄 #0001f6c4
\U00031c38 #00031c38
𦎬 #000263ac
億 #00005104
\U00034808 #00034808
嘍 #0000560d
ㅂ #00003142
𮒺 #0002e4ba
留 #00007559
𝅐 #0001d150
\U000149d1 #000149d1
Ꮣ #000013d3
\U00019f9d #00019f9d
\U0001541e #0001541e
\U00032e32 #00032e32
\U00037cb7 #00037cb7
\U00038071 #00038071
幤 #00005e64
춼 #0000cdbc
\ue738 #0000e738
Ǉ #000001c7
쥁 #0000c941
𝥟 #0001d95f
\ue9b4 #0000e9b4
눯 #0000b22f
\U000199b2 #000199b2
\U00037473 #00037473
\U00031b37 #00031b37
\U00012f35 #00012f35
𢄕 #00022115
\U0001fd6b #0001fd6b
𧢝 #0002789d
\U0003f131 #0003f131
𗽟 #00017f5f
\U0003ed2a #0003ed2a
\U00012ace #00012ace
\U00039be4 #00039be4
畏 #0000754f
ꩩ #0000aa69
\U000393b4 #000393b4
\U0003b09d #0003b09d
𢴓 #00022d13
缩 #00007f29
㋒ #000032d2
\U0003f1b4 #0003f1b4
\uf0c9 #0000f0c9
南 #00005357
𭛽 #0002d6fd
𩤶 #00029936
‣ #00002023
\U00010bfa #00010bfa
\U00036f77 #00036f77
𠚚 #0002069a
쌼 #0000c33c
羨 #00007fa8
\U0003e3a8 #0003e3a8
𮊔 #0002e294
\U0003b244 #0003b244
氧 #00006c27
\U000320e4 #000320e4
弲 #00005f32
\U0001c7f5 #0001c7f5
\U0002ed83 #0002ed83
㝓 #00003753
\U00031f52 #00031f52
𬸐 #0002ce10
넞 #0000b11e
\U00013b46 #00013b46
𭁖 #0002d056
景 #0000666f
\U00034903 #00034903
𝞒 #0001d792
\U00038e9b #00038e9b
퓭 #0000d4ed
\U00012e2e #00012e2e
\U0003e7b7 #0003e7b7
𨇮 #000281ee
㍵ #00003375
𥜇 #00025707
\U000354e3 #000354e3
𨪪 #00028aaa
𦆤 #000261a4
\U0003a23f #0003a23f
艀 #00008240
\U0002f277 #0002f277
𣖓 #00023593
ԇ #00000507
ᷢ #00001de2
㮩 #00003ba9
𩻒 #00029ed2
\U0003c853 #0003c853
体 #00004f53
𢴩 #00022d29
\U0001b713 #0001b713
\U0003e180 #0003e180
𑀱 #00011031
𢟓 #000227d3
𭲟 #0002dc9f
𢩖 #00022a56
𔕇 #00014547
𦣒 #000268d2
𢟘 #000227d8
\U0001e3b9 #0001e3b9
\U00011efb #00011efb
𫊫 #0002b2ab
\uf0a1 #0000f0a1
𰲾 #00030cbe
\U000153f3 #000153f3
\U00033a90 #00033a90
𖤛 #0001691b
\U0003c690 #0003c690
\U00011bfb #00011bfb
脸 #00008138
𧃗 #000270d7
𤎹 #000243b9
\U00033e0f #00033e0f
ꍞ #0000a35e
\U00013436 #00013436
f #00000066
𢥖 #00022956
\U0003b817 #0003b817
𗖪 #000175aa
𪤊 #0002a90a
\uecb1 #0000ecb1
\U0001c9ea #0001c9ea
\U0001ad79 #0001ad79
𭞠 #0002d7a0
𝇚 #0001d1da
檞 #00006a9e
𓏵 #000133f5
\U0003d6fb #0003d6fb
𣄦 #00023126
㬘 #00003b18
\U0001c274 #0001c274
\U0003d074 #0003d074
𩴱 #00029d31
莱 #000083b1
\uef70 #0000ef70
\U0001a5e9 #0001a5e9
ꀚ #0000a01a
\U0001a94f #0001a94f
\U0001c6d3 #0001c6d3
𝢲 #0001d8b2
\U00019474 #00019474
䄻 #0000413b
ﴍ #0000fd0d
𭶴 #0002ddb4
\U000377c3 #000377c3
\U0003ce26 #0003ce26
壴 #000058f4
ᛣ #000016e3
ỡ #00001ee1
귗 #0000add7
\U0002f368 #0002f368
𨮕 #00028b95
\U00019456 #00019456
됆 #0000b406
랈 #0000b788
\U0003ee65 #0003ee65
\U0003aba6 #0003aba6
\U0001fffc #0001fffc
\U0003271f #0003271f
\U000332c4 #000332c4
\U0001ece3 #0001ece3
ꊝ #0000a29d
\U00036991 #00036991
𐎥 #000103a5
𢨻 #00022a3b
ل #00000644
\U0001b5cc #0001b5cc
\U000390d6 #000390d6
𧙯 #0002766f
\U000372f5 #000372f5
鶒 #00009d92
\U0003b2eb #0003b2eb
\U0001aba3 #0001aba3
𭤋 #0002d90b
𤗕 #000245d5
\U0003630d #0003630d
쀬 #0000c02c
𐮈 #00010b88
𒋩 #000122e9
\U0003f5c2 #0003f5c2
\U00019612 #00019612
\U0002fe22 #0002fe22
\U0003587f #0003587f
𧚬 #000276ac
蹂 #00008e42
𤉡 #00024261
\U0001ccd7 #0001ccd7
痖 #000075d6
\U0003ac17 #0003ac17
𮖻 #0002e5bb
\U0001b776 #0001b776
뾈 #0000bf88
𡨉 #00021a09
制 #00005236
𠯌 #00020bcc
\U00014c40 #00014c40
𥅞 #0002515e
\U00031d22 #00031d22
\U0002fb02 #0002fb02
𰝱 #00030771
\U00036746 #00036746
𝝱 #0001d771
푳 #0000d473
\U000341a6 #000341a6
\U000386d1 #000386d1
\U0001428a #0001428a
봐 #0000bd10
駍 #000099cd
\U0001fca2 #0001fca2
𡦉 #00021989
迋 #00008fcb
ࣛ #000008db
𰯽 #00030bfd
\U000157bf #000157bf
郑 #000090d1
终 #00007ec8
\U00014ba5 #00014ba5
\U00032156 #00032156
\U000199d0 #000199d0
𢓾 #000224fe
𣽿 #00023f7f
𥆕 #00025195
\U00012e18 #00012e18
🥈 #0001f948
\U0001a196 #0001a196
𧥛 #0002795b
𮝄 #0002e744
\U0001badb #0001badb
\U0001c4af #0001c4af
\U000349cb #000349cb
氏 #00006c0f
𗵱 #00017d71
\U0002fd29 #0002fd29
\ue2dd #0000e2dd
𡍌 #0002134c
\U0002ef42 #0002ef42
𧂴 #000270b4
⠔ #00002814
𘍌 #0001834c
𗨝 #00017a1d
𝕏 #0001d54f
𑗈 #000115c8
𬐃 #0002c403
𮡞 #0002e85e
\U0003a9a1 #0003a9a1
\U0003c2c9 #0003c2c9
𰜖 #00030716
\U00013a73 #00013a73
\U00033ba3 #00033ba3
\U00034747 #00034747
\U0003a2dc #0003a2dc
🤯 #0001f92f
\U0001364a #0001364a
𤂲 #000240b2
\U0001e067 #0001e067
𠹸 #00020e78
𥈢 #00025222
𪿴 #0002aff4
\U000117ed #000117ed
𫕨 #0002b568
\U0003a442 #0003a442
禂 #00007982
\u1f17 #00001f17
𨳧 #00028ce7
𐢖 #00010896
楀 #00006940
𣝭 #0002376d
𰃖 #000300d6
\U00013aa8 #00013aa8
\U00033c93 #00033c93
\ued00 #0000ed00
ᅌ #0000114c
\U0003eff6 #0003eff6
𘀲 #00018032
𘫇 #00018ac7
𐆔 #00010194
\U0002f626 #0002f626
𨐪 #0002842a
\U000327f2 #000327f2
𭅈 #0002d148
𑩩 #00011a69
\U0003e28c #0003e28c
\U0003da60 #0003da60
\U00019189 #00019189
\U000158f7 #000158f7
\U0003db6c #0003db6c
\U00019c5f #00019c5f
皟 #0000769f
\U0001c1ad #0001c1ad
𢅳 #00022173
𬹙 #0002ce59
\U00032a73 #00032a73
흚 #0000d75a
\U0001baf0 #0001baf0
𦍺 #0002637a
𧈻 #0002723b
ế #00001ebf
⭞ #00002b5e
㠯 #0000382f
𨲠 #00028ca0
蔂 #00008502
㯗 #00003bd7
\U0001ba40 #0001ba40
吻 #0000543b
𧖹 #000275b9
有 #00006709
\U0003ba1c #0003ba1c
𭉇 #0002d247
Ҭ #000004ac
𰹓 #00030e53
𩓓 #000294d3
\U00013c02 #00013c02
\U00011dcb #00011dcb
檗 #00006a97
\U0003bdd1 #0003bdd1
\U00016a99 #00016a99
\U00031ccc #00031ccc
𥜬 #0002572c
\U0003a7c5 #0003a7c5
服 #0000670d
\U00039693 #00039693
\ue9f2 #0000e9f2
蓜 #000084dc
\U00031f72 #00031f72
𫓤 #0002b4e4
\U00039406 #00039406
𱅗 #00031157
\U00036a81 #00036a81
⡖ #00002856
\U00036c0f #00036c0f
\U00031ac6 #00031ac6
𢃊 #000220ca
𗡉 #00017849
⁑ #00002051
ꀰ #0000a030
\U0001c271 #0001c271
\U00014b30 #00014b30
\U0003ce05 #0003ce05
